,,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score
,,AUCPR,AUROC,F1,MCC,Kappa,Accuracy,Balanced_Accuracy,Specificity,Precision,Recall
repeat,fold,,,,,,,,,,
0,0,0.7259,0.7573,0.651,0.362,0.362,0.6838,0.6812,0.7078,0.6474,0.6546
0,1,0.6857,0.726,0.6444,0.3536,0.3536,0.6801,0.6767,0.71,0.6453,0.6435
0,2,0.6752,0.7441,0.6267,0.3639,0.3608,0.6876,0.6781,0.774,0.6786,0.5822
0,3,0.6854,0.7395,0.5892,0.3404,0.331,0.6763,0.6618,0.8082,0.6877,0.5153
0,4,0.7099,0.743,0.6237,0.3587,0.3556,0.6851,0.6755,0.7717,0.6753,0.5794
1,0,0.7052,0.7503,0.6442,0.3577,0.3577,0.6826,0.6785,0.7192,0.6506,0.6379
1,1,0.6626,0.7109,0.6245,0.3222,0.3221,0.665,0.6608,0.7032,0.6307,0.6184
1,2,0.677,0.734,0.5761,0.3303,0.3189,0.6713,0.6554,0.8151,0.6873,0.4958
1,3,0.6966,0.747,0.5912,0.3348,0.3272,0.6738,0.6602,0.7968,0.6787,0.5237
1,4,0.6825,0.7221,0.6262,0.327,0.3269,0.6675,0.6631,0.7078,0.6343,0.6184
2,0,0.7137,0.753,0.6442,0.3577,0.3577,0.6826,0.6785,0.7192,0.6506,0.6379
2,1,0.688,0.7258,0.6305,0.3411,0.3408,0.675,0.6697,0.7237,0.6462,0.6156
2,2,0.6711,0.7308,0.5563,0.315,0.3008,0.6637,0.6461,0.8242,0.6857,0.468
2,3,0.6843,0.7398,0.5912,0.3348,0.3272,0.6738,0.6602,0.7968,0.6787,0.5237
2,4,0.6777,0.7208,0.5767,0.3006,0.2952,0.6575,0.6449,0.7717,0.6503,0.5181
