,,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score
,,AUCPR,AUROC,F1,MCC,Kappa,Accuracy,Balanced_Accuracy,Specificity,Precision,Recall
repeat,fold,,,,,,,,,,
0,0,0.3181,0.5675,0.0,0.0,0.0,0.7506,0.5,1.0,0.0,0.0
0,1,0.3404,0.6116,0.0,0.0,0.0,0.7506,0.5,1.0,0.0,0.0
0,2,0.3056,0.6062,0.088,0.0061,0.0042,0.7263,0.5015,0.9502,0.2609,0.0529
0,3,0.2893,0.585,0.0596,0.0035,0.002,0.7347,0.5007,0.9678,0.2577,0.0337
0,4,0.3103,0.575,0.0767,0.0551,0.0294,0.7447,0.5103,0.9781,0.3926,0.0425
1,0,0.3389,0.5883,0.0,0.0,0.0,0.7506,0.5,1.0,0.0,0.0
1,1,0.2931,0.5648,0.0078,-0.0207,-0.0059,0.7455,0.498,0.992,0.1429,0.004
1,2,0.3157,0.586,0.0,0.0,0.0,0.7506,0.5,1.0,0.0,0.0
1,3,0.2944,0.5747,0.0,0.0,0.0,0.7506,0.5,1.0,0.0,0.0
1,4,0.2996,0.5758,0.0,0.0,0.0,0.7506,0.5,1.0,0.0,0.0
2,0,0.3293,0.5799,0.0,0.0,0.0,0.7506,0.5,1.0,0.0,0.0
2,1,0.3019,0.5672,0.0,0.0,0.0,0.7506,0.5,1.0,0.0,0.0
2,2,0.3123,0.5796,0.0,0.0,0.0,0.7506,0.5,1.0,0.0,0.0
2,3,0.2933,0.5861,0.0,0.0,0.0,0.7506,0.5,1.0,0.0,0.0
2,4,0.2914,0.5631,0.0,0.0,0.0,0.7506,0.5,1.0,0.0,0.0
