,,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score
,,AUCPR,AUROC,F1,MCC,Kappa,Accuracy,Balanced_Accuracy,Specificity,Precision,Recall
repeat,fold,,,,,,,,,,
0,0,0.3007,0.5636,0.0,0.0,0.0,0.7384,0.5,1.0,0.0,0.0
0,1,0.3218,0.5874,0.0,0.0,0.0,0.7384,0.5,1.0,0.0,0.0
0,2,0.3099,0.5778,0.0129,-0.0006,-0.0002,0.7352,0.4999,0.9933,0.2586,0.0066
0,3,0.312,0.588,0.0,0.0,0.0,0.7384,0.5,1.0,0.0,0.0
0,4,0.3151,0.5816,0.0069,0.0031,0.0006,0.737,0.5002,0.9969,0.2857,0.0035
1,0,0.2423,0.4765,0.0,0.0,0.0,0.7384,0.5,1.0,0.0,0.0
1,1,0.3112,0.5735,0.0078,-0.0017,-0.0004,0.7363,0.4999,0.9958,0.25,0.004
1,2,0.3151,0.5898,0.0,0.0,0.0,0.7384,0.5,1.0,0.0,0.0
1,3,0.3089,0.5913,0.0,0.0,0.0,0.7384,0.5,1.0,0.0,0.0
1,4,0.3103,0.5806,0.0,0.0,0.0,0.7384,0.5,1.0,0.0,0.0
2,0,0.304,0.5669,0.0,0.0,0.0,0.7384,0.5,1.0,0.0,0.0
2,1,0.3161,0.5719,0.0,0.0,0.0,0.7384,0.5,1.0,0.0,0.0
2,2,0.3231,0.6046,0.0,0.0,0.0,0.7384,0.5,1.0,0.0,0.0
2,3,0.3218,0.5781,0.0398,0.0637,0.0209,0.7392,0.5072,0.9938,0.5402,0.0207
2,4,0.2938,0.5514,0.0,0.0,0.0,0.7384,0.5,1.0,0.0,0.0
