,,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score
,,AUCPR,AUROC,F1,MCC,Kappa,Accuracy,Balanced_Accuracy,Specificity,Precision,Recall
repeat,fold,,,,,,,,,,
0,0,0.2448,0.5415,0.0,0.0,0.0,0.7773,0.5,1.0,0.0,0.0
0,1,0.2905,0.5874,0.1176,0.0826,0.0545,0.7689,0.5193,0.9694,0.3929,0.0691
0,2,0.2547,0.5813,0.053,-0.0091,-0.0057,0.7573,0.498,0.9655,0.2024,0.0305
0,3,0.2474,0.5389,0.0,0.0,0.0,0.7773,0.5,1.0,0.0,0.0
0,4,0.2465,0.5477,0.0,0.0,0.0,0.7773,0.5,1.0,0.0,0.0
1,0,0.3088,0.6073,0.0,0.0,0.0,0.7773,0.5,1.0,0.0,0.0
1,1,0.2759,0.5818,0.0106,0.0234,0.0047,0.7767,0.5015,0.9977,0.4,0.0054
1,2,0.2461,0.5679,0.06,-0.0067,-0.0043,0.7555,0.4985,0.9619,0.2086,0.035
1,3,0.2607,0.5589,0.0,0.0,0.0,0.7773,0.5,1.0,0.0,0.0
1,4,0.2756,0.5841,0.1031,0.0649,0.042,0.7669,0.5148,0.9694,0.3602,0.0601
2,0,0.2829,0.5977,0.0054,0.0185,0.0026,0.7771,0.5008,0.999,0.4286,0.0027
2,1,0.2803,0.5929,0.1027,0.0408,0.0286,0.7589,0.5103,0.9586,0.3,0.0619
2,2,0.2473,0.5653,0.0475,-0.009,-0.0053,0.7595,0.4982,0.9694,0.2013,0.0269
2,3,0.2594,0.5569,0.0,0.0,0.0,0.7773,0.5,1.0,0.0,0.0
2,4,0.2681,0.585,0.0188,-0.0095,-0.0037,0.7699,0.4988,0.9877,0.1864,0.0099
