,,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score
,,AUCPR,AUROC,F1,MCC,Kappa,Accuracy,Balanced_Accuracy,Specificity,Precision,Recall
repeat,fold,,,,,,,,,,
0,0,0.2731,0.5632,0.0,0.0,0.0,0.7665,0.5,1.0,0.0,0.0
0,1,0.274,0.5681,0.0,0.0,0.0,0.7665,0.5,1.0,0.0,0.0
0,2,0.2398,0.5033,0.0,0.0,0.0,0.7665,0.5,1.0,0.0,0.0
0,3,0.2577,0.5336,0.0,0.0,0.0,0.7665,0.5,1.0,0.0,0.0
0,4,0.2593,0.5238,0.0,0.0,0.0,0.7665,0.5,1.0,0.0,0.0
1,0,0.2573,0.5311,0.0,0.0,0.0,0.7665,0.5,1.0,0.0,0.0
1,1,0.2531,0.529,0.0,0.0,0.0,0.7665,0.5,1.0,0.0,0.0
1,2,0.2451,0.5211,0.0,0.0,0.0,0.7665,0.5,1.0,0.0,0.0
1,3,0.2716,0.5413,0.0,0.0,0.0,0.7665,0.5,1.0,0.0,0.0
1,4,0.2552,0.5459,0.0,0.0,0.0,0.7665,0.5,1.0,0.0,0.0
2,0,0.2493,0.5352,0.0,0.0,0.0,0.7665,0.5,1.0,0.0,0.0
2,1,0.2684,0.5477,0.0,0.0,0.0,0.7665,0.5,1.0,0.0,0.0
2,2,0.2819,0.5942,0.0,0.0,0.0,0.7665,0.5,1.0,0.0,0.0
2,3,0.2567,0.541,0.0,0.0,0.0,0.7665,0.5,1.0,0.0,0.0
2,4,0.2733,0.5614,0.0,0.0,0.0,0.7665,0.5,1.0,0.0,0.0
