,,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score
,,AUCPR,AUROC,F1,MCC,Kappa,Accuracy,Balanced_Accuracy,Specificity,Precision,Recall
repeat,fold,,,,,,,,,,
0,0,0.4479,0.585,0.178,0.0856,0.0571,0.635,0.5238,0.9397,0.5084,0.1079
0,1,0.446,0.5816,0.2706,0.1033,0.0855,0.6308,0.5372,0.8874,0.4897,0.1869
0,2,0.4268,0.588,0.1309,0.0427,0.0261,0.6268,0.5108,0.9448,0.4456,0.0767
0,3,0.4785,0.6143,0.2319,0.1297,0.094,0.6448,0.5397,0.9329,0.5579,0.1464
0,4,0.3841,0.5312,0.0367,0.0083,0.0028,0.63,0.5011,0.983,0.3958,0.0193
1,0,0.464,0.5957,0.2765,0.1148,0.0947,0.6349,0.5411,0.8918,0.5044,0.1905
1,1,0.435,0.5808,0.1786,0.0694,0.0479,0.6297,0.52,0.9302,0.4764,0.1099
1,2,0.4185,0.561,0.2999,0.079,0.0711,0.6137,0.5319,0.8378,0.446,0.2259
1,3,0.473,0.6188,0.1583,0.1055,0.0628,0.6419,0.5258,0.9597,0.569,0.0919
1,4,0.3887,0.5286,0.3528,0.0299,0.0296,0.5653,0.5143,0.7051,0.388,0.3235
2,0,0.4383,0.5731,0.2973,0.1011,0.0884,0.6254,0.5391,0.8619,0.4752,0.2163
2,1,0.4482,0.5714,0.2048,0.1031,0.0724,0.6382,0.5304,0.9337,0.5257,0.1272
2,2,0.4275,0.5841,0.3267,0.0977,0.0899,0.6176,0.5407,0.8281,0.46,0.2533
2,3,0.4493,0.607,0.1841,0.0816,0.0559,0.6331,0.5234,0.9338,0.4967,0.113
2,4,0.3944,0.5406,0.0,0.0,0.0,0.6337,0.5,1.0,0.0,0.0
