,,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score
,,AUCPR,AUROC,F1,MCC,Kappa,Accuracy,Balanced_Accuracy,Specificity,Precision,Recall
repeat,fold,,,,,,,,,,
0,0,0.4687,0.5843,0.5106,0.0917,0.081,0.5119,0.5459,0.411,0.4085,0.6809
0,1,0.4271,0.5331,0.4494,0.0173,0.0164,0.4996,0.5089,0.4718,0.3818,0.5461
0,2,0.4027,0.5514,0.4547,0.0692,0.068,0.542,0.5357,0.5607,0.4099,0.5106
0,3,0.3689,0.5212,0.4396,0.0905,0.0904,0.5694,0.5457,0.6398,0.4283,0.4515
0,4,0.3465,0.4866,0.3563,-0.0047,-0.0047,0.5367,0.4977,0.6525,0.3708,0.3428
1,0,0.4039,0.5516,0.5485,0.08,0.0329,0.412,0.5213,0.0876,0.3848,0.9551
1,1,0.3896,0.5212,0.4516,0.0242,0.023,0.504,0.5125,0.4788,0.385,0.5461
1,2,0.4057,0.5461,0.4247,0.0331,0.0328,0.5305,0.517,0.5706,0.392,0.4634
1,3,0.3564,0.4966,0.5444,0.0,0.0,0.374,0.5,0.0,0.374,1.0
1,4,0.3523,0.4893,0.3138,-0.0203,-0.02,0.5438,0.4905,0.702,0.3587,0.279
2,0,0.4193,0.574,0.4582,0.084,0.0829,0.5526,0.5432,0.5805,0.4188,0.5059
2,1,0.4171,0.5401,0.4499,0.0726,0.0718,0.5482,0.5373,0.5805,0.413,0.4941
2,2,0.3971,0.5238,0.3778,0.0318,0.0317,0.5544,0.5156,0.6695,0.3953,0.3617
2,3,0.3664,0.5157,0.502,0.0275,0.0217,0.458,0.5128,0.2952,0.3824,0.7305
2,4,0.3787,0.5256,0.3747,0.0419,0.0417,0.5632,0.5203,0.6907,0.4033,0.3499
