,,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score
,,AUCPR,AUROC,F1,MCC,Kappa,Accuracy,Balanced_Accuracy,Specificity,Precision,Recall
repeat,fold,,,,,,,,,,
0,0,0.3476,0.6033,0.0,0.0,0.0,0.7506,0.5,1.0,0.0,0.0
0,1,0.3597,0.6038,0.1029,0.1287,0.0637,0.7558,0.5222,0.9883,0.614,0.0561
0,2,0.3384,0.6062,0.0929,0.0906,0.0477,0.7499,0.5167,0.9821,0.4885,0.0513
0,3,0.3792,0.6187,0.1051,0.1459,0.0694,0.7582,0.5241,0.9912,0.6827,0.0569
0,4,0.351,0.6074,0.0725,0.1081,0.0448,0.7544,0.5154,0.9923,0.6234,0.0385
1,0,0.3542,0.6028,0.0404,0.0831,0.0253,0.753,0.5086,0.9963,0.65,0.0209
1,1,0.3378,0.596,0.1753,0.1105,0.0828,0.7421,0.5311,0.9523,0.4335,0.1099
1,2,0.3406,0.6123,0.2631,0.1408,0.1263,0.7321,0.5517,0.9118,0.4193,0.1917
1,3,0.3612,0.6161,0.0237,0.0733,0.0159,0.7526,0.5053,0.9987,0.75,0.012
1,4,0.3553,0.611,0.1023,0.1198,0.0609,0.7544,0.5213,0.9864,0.5785,0.0561
2,0,0.3604,0.6067,0.0525,0.1044,0.0347,0.7546,0.5118,0.9963,0.7083,0.0273
2,1,0.3289,0.581,0.1169,0.1008,0.0598,0.7491,0.5213,0.976,0.4798,0.0666
2,2,0.3307,0.6019,0.008,0.03,0.0044,0.7508,0.5015,0.9989,0.5556,0.004
2,3,0.3763,0.6194,0.1121,0.1332,0.0692,0.756,0.5242,0.9867,0.6063,0.0617
2,4,0.3519,0.612,0.1388,0.1137,0.0727,0.7493,0.5262,0.9715,0.4856,0.081
