,,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score
,,AUCPR,AUROC,F1,MCC,Kappa,Accuracy,Balanced_Accuracy,Specificity,Precision,Recall
repeat,fold,,,,,,,,,,
0,0,0.353,0.6058,0.0355,0.0477,0.0159,0.7377,0.5055,0.9925,0.4667,0.0185
0,1,0.3307,0.5972,0.0609,0.0476,0.0223,0.7343,0.5078,0.9827,0.4032,0.033
0,2,0.3304,0.5831,0.0742,0.0668,0.0326,0.7361,0.5115,0.9826,0.451,0.0404
0,3,0.3659,0.6176,0.0834,0.0918,0.0439,0.7397,0.5155,0.9857,0.5282,0.0453
0,4,0.3376,0.5962,0.0095,0.0155,0.003,0.7376,0.501,0.9972,0.3793,0.0048
1,0,0.348,0.5988,0.0266,0.0576,0.0149,0.7394,0.5051,0.9966,0.5849,0.0136
1,1,0.343,0.6042,0.0355,0.0458,0.0155,0.7375,0.5053,0.9922,0.4565,0.0185
1,2,0.3266,0.5767,0.0298,0.0488,0.0145,0.7384,0.505,0.9946,0.5,0.0154
1,3,0.3327,0.5862,0.0,0.0,0.0,0.7384,0.5,1.0,0.0,0.0
1,4,0.3429,0.5985,0.0378,0.0404,0.0146,0.7364,0.5051,0.9903,0.4206,0.0198
2,0,0.3523,0.6053,0.0249,0.0457,0.0122,0.7385,0.5042,0.9956,0.5088,0.0127
2,1,0.3382,0.6032,0.0355,0.0477,0.0159,0.7377,0.5055,0.9925,0.4667,0.0185
2,2,0.3315,0.5842,0.0683,0.0645,0.0301,0.7364,0.5106,0.9843,0.4541,0.0369
2,3,0.3383,0.5898,0.0026,0.0312,0.0019,0.7387,0.5007,1.0,1.0,0.0013
2,4,0.3377,0.595,0.0408,0.0344,0.0135,0.7351,0.5047,0.9879,0.3858,0.0215
