,,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score
,,AUCPR,AUROC,F1,MCC,Kappa,Accuracy,Balanced_Accuracy,Specificity,Precision,Recall
repeat,fold,,,,,,,,,,
0,0,0.3089,0.6064,0.0,0.0,0.0,0.7773,0.5,1.0,0.0,0.0
0,1,0.2956,0.5986,0.0054,0.0185,0.0026,0.7771,0.5008,0.999,0.4286,0.0027
0,2,0.268,0.5757,0.0176,0.0302,0.0079,0.7763,0.5026,0.9961,0.4,0.009
0,3,0.2961,0.6006,0.0,0.0,0.0,0.7773,0.5,1.0,0.0,0.0
0,4,0.2895,0.5975,0.0018,0.0019,0.0002,0.7769,0.5001,0.9992,0.25,0.0009
1,0,0.3108,0.6076,0.0314,0.0679,0.0196,0.7783,0.5064,0.9967,0.5806,0.0162
1,1,0.3021,0.5987,0.0,0.0,0.0,0.7773,0.5,1.0,0.0,0.0
1,2,0.272,0.5803,0.0571,0.0335,0.0175,0.7691,0.5059,0.9805,0.3153,0.0314
1,3,0.2951,0.5957,0.0,0.0,0.0,0.7773,0.5,1.0,0.0,0.0
1,4,0.284,0.5967,0.0,0.0,0.0,0.7773,0.5,1.0,0.0,0.0
2,0,0.3094,0.6035,0.0,0.0,0.0,0.7773,0.5,1.0,0.0,0.0
2,1,0.3116,0.6126,0.1142,0.0975,0.0601,0.7735,0.5209,0.9763,0.4424,0.0655
2,2,0.2767,0.5814,0.0453,0.0362,0.0162,0.7723,0.5054,0.9866,0.3418,0.0242
2,3,0.2948,0.6003,0.0,0.0,0.0,0.7773,0.5,1.0,0.0,0.0
2,4,0.2824,0.5942,0.0,0.0,0.0,0.7773,0.5,1.0,0.0,0.0
