,,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score
,,AUCPR,AUROC,F1,MCC,Kappa,Accuracy,Balanced_Accuracy,Specificity,Precision,Recall
repeat,fold,,,,,,,,,,
0,0,0.3169,0.6023,0.0327,0.0883,0.0228,0.7691,0.5075,0.9983,0.75,0.0167
0,1,0.3213,0.6138,0.0908,0.0904,0.0482,0.7652,0.5166,0.983,0.4737,0.0502
0,2,0.2998,0.5934,0.0373,0.0446,0.0165,0.7646,0.5055,0.9915,0.4118,0.0195
0,3,0.3377,0.6104,0.0797,0.1105,0.0497,0.7696,0.5168,0.9909,0.5897,0.0428
0,4,0.308,0.6018,0.0093,0.0597,0.0071,0.7676,0.5023,1.0,1.0,0.0046
1,0,0.3167,0.6016,0.0531,0.0848,0.0319,0.7681,0.5107,0.9935,0.566,0.0279
1,1,0.3312,0.6138,0.0762,0.101,0.0457,0.7685,0.5155,0.9901,0.557,0.0409
1,2,0.3209,0.5943,0.1168,0.0999,0.061,0.7637,0.5214,0.9759,0.4586,0.0669
1,3,0.3351,0.6133,0.0536,0.1065,0.0363,0.7702,0.5121,0.9963,0.6977,0.0279
1,4,0.294,0.5993,0.0,0.0,0.0,0.7665,0.5,1.0,0.0,0.0
2,0,0.3117,0.6021,0.0219,0.0641,0.0144,0.7678,0.5047,0.9983,0.6667,0.0112
2,1,0.2847,0.5987,0.0,-0.0115,-0.0009,0.7661,0.4997,0.9994,0.0,0.0
2,2,0.3069,0.5807,0.098,0.0909,0.0509,0.7644,0.5177,0.9805,0.4609,0.0548
2,3,0.3346,0.6168,0.022,0.0867,0.0166,0.7689,0.5054,0.9997,0.9231,0.0112
2,4,0.2698,0.5677,0.0,0.0,0.0,0.7665,0.5,1.0,0.0,0.0
