,,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score
,,AUCPR,AUROC,F1,MCC,Kappa,Accuracy,Balanced_Accuracy,Specificity,Precision,Recall
repeat,fold,,,,,,,,,,
0,0,0.5033,0.6292,0.3872,0.1821,0.1683,0.6497,0.5763,0.8505,0.5388,0.3022
0,1,0.5064,0.6397,0.453,0.1759,0.1746,0.6287,0.5846,0.7495,0.492,0.4197
0,2,0.5179,0.6505,0.3319,0.1865,0.1564,0.6582,0.5682,0.9047,0.5843,0.2318
0,3,0.5208,0.6471,0.4287,0.1963,0.1888,0.6491,0.588,0.8165,0.5311,0.3594
0,4,0.4842,0.6288,0.3326,0.1515,0.1328,0.6433,0.5588,0.875,0.5287,0.2427
1,0,0.4997,0.6262,0.355,0.1723,0.1531,0.6497,0.5682,0.8732,0.5454,0.2632
1,1,0.5102,0.6422,0.4284,0.1811,0.176,0.6402,0.5828,0.7975,0.5123,0.368
1,2,0.5109,0.6413,0.2963,0.179,0.1408,0.6576,0.5604,0.924,0.5995,0.1968
1,3,0.5255,0.657,0.4129,0.2009,0.1889,0.6549,0.5866,0.8419,0.5477,0.3313
1,4,0.4898,0.6323,0.3941,0.1566,0.1494,0.6345,0.5691,0.8138,0.5018,0.3245
2,0,0.5016,0.6327,0.3599,0.1681,0.1513,0.6472,0.5677,0.8647,0.5364,0.2708
2,1,0.5148,0.6491,0.4423,0.1872,0.1835,0.6399,0.5871,0.7845,0.5111,0.3898
2,2,0.5155,0.6496,0.2942,0.1814,0.1415,0.6586,0.5606,0.9269,0.6058,0.1943
2,3,0.5205,0.655,0.4173,0.1971,0.187,0.652,0.5862,0.8322,0.5396,0.3402
2,4,0.4853,0.6274,0.3974,0.1617,0.1542,0.6367,0.5713,0.8157,0.5063,0.327
