,,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score
,,AUCPR,AUROC,F1,MCC,Kappa,Accuracy,Balanced_Accuracy,Specificity,Precision,Recall
repeat,fold,,,,,,,,,,
0,0,0.4859,0.6103,0.535,0.1432,0.1263,0.5358,0.5717,0.4294,0.4278,0.7139
0,1,0.4643,0.5798,0.5066,0.0811,0.0713,0.5057,0.5405,0.4025,0.4042,0.6785
0,2,0.4751,0.6063,0.5189,0.1146,0.1024,0.5261,0.5577,0.4322,0.4182,0.6832
0,3,0.4998,0.626,0.5131,0.1865,0.185,0.6057,0.5956,0.6356,0.4767,0.5556
0,4,0.4726,0.5961,0.4659,0.1102,0.1094,0.5703,0.5564,0.6116,0.4353,0.5012
1,0,0.4872,0.6124,0.4406,0.1252,0.125,0.5959,0.5616,0.6977,0.4569,0.4255
1,1,0.4597,0.5743,0.5143,0.0888,0.0765,0.504,0.5439,0.3856,0.4057,0.7021
1,2,0.4755,0.6061,0.5098,0.1132,0.1045,0.5358,0.5579,0.4703,0.4213,0.6454
1,3,0.4932,0.6209,0.5105,0.1635,0.1603,0.5862,0.5843,0.5918,0.4578,0.5768
1,4,0.4792,0.6025,0.4612,0.1529,0.1527,0.6074,0.5756,0.702,0.4738,0.4492
2,0,0.4792,0.6064,0.4932,0.1309,0.1281,0.5694,0.5676,0.5749,0.4405,0.5603
2,1,0.468,0.5806,0.4981,0.0932,0.0864,0.5279,0.5477,0.4689,0.4134,0.6265
2,2,0.4655,0.588,0.4591,0.1157,0.1155,0.5791,0.5587,0.6398,0.442,0.4775
2,3,0.4921,0.6216,0.5177,0.1874,0.1851,0.603,0.5963,0.6229,0.4744,0.5697
2,4,0.478,0.6042,0.4689,0.1475,0.1475,0.5995,0.574,0.6751,0.4651,0.4728
