,,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score
,,AUCPR,AUROC,F1,MCC,Kappa,Accuracy,Balanced_Accuracy,Specificity,Precision,Recall
repeat,fold,,,,,,,,,,
0,0,0.3386,0.6082,0.0,0.0,0.0,0.7506,0.5,1.0,0.0,0.0
0,1,0.3504,0.6292,0.0531,0.0675,0.027,0.7504,0.5092,0.9904,0.493,0.0281
0,2,0.3455,0.6249,0.0895,0.0768,0.0415,0.7475,0.5146,0.9795,0.446,0.0497
0,3,0.3672,0.6182,0.0,0.0,0.0,0.7506,0.5,1.0,0.0,0.0
0,4,0.344,0.6137,0.0472,0.0574,0.0223,0.7495,0.5076,0.9904,0.4627,0.0249
1,0,0.364,0.6208,0.0702,0.1235,0.047,0.7562,0.516,0.9952,0.7188,0.0369
1,1,0.3485,0.6197,0.0791,0.0748,0.0376,0.7485,0.5131,0.9829,0.4576,0.0433
1,2,0.3335,0.6073,0.0743,0.0852,0.0394,0.751,0.5137,0.9872,0.5102,0.0401
1,3,0.3717,0.6229,0.0636,0.0917,0.0371,0.7528,0.5127,0.9917,0.5753,0.0337
1,4,0.3496,0.6247,0.1018,0.093,0.0516,0.7493,0.5182,0.9795,0.4797,0.0569
2,0,0.3379,0.6115,0.0,0.0,0.0,0.7506,0.5,1.0,0.0,0.0
2,1,0.3606,0.6349,0.0781,0.0794,0.0389,0.7495,0.5135,0.9845,0.4775,0.0425
2,2,0.3105,0.6008,0.0172,0.0192,0.0052,0.7487,0.5017,0.9947,0.3548,0.0088
2,3,0.3848,0.6304,0.1398,0.1454,0.0854,0.7564,0.5304,0.9813,0.5858,0.0794
2,4,0.3624,0.6305,0.0813,0.0916,0.0439,0.7514,0.5153,0.9864,0.5189,0.0441
