,,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score
,,AUCPR,AUROC,F1,MCC,Kappa,Accuracy,Balanced_Accuracy,Specificity,Precision,Recall
repeat,fold,,,,,,,,,,
0,0,0.3484,0.6059,0.0338,0.0407,0.0137,0.737,0.5047,0.9919,0.4348,0.0176
0,1,0.344,0.6034,0.0323,0.0478,0.015,0.738,0.5052,0.9936,0.481,0.0167
0,2,0.3471,0.6041,0.0397,0.0577,0.0195,0.7385,0.5067,0.9928,0.5054,0.0207
0,3,0.3924,0.6428,0.142,0.1294,0.0789,0.7417,0.5286,0.9756,0.5423,0.0817
0,4,0.3556,0.6137,0.0678,0.0707,0.032,0.7376,0.5112,0.986,0.4798,0.0365
1,0,0.3383,0.5962,0.0122,0.0326,0.0061,0.7385,0.5021,0.998,0.5185,0.0062
1,1,0.3393,0.5997,0.0156,0.0537,0.0098,0.7395,0.5033,0.9988,0.6923,0.0079
1,2,0.3359,0.5914,0.0703,0.0617,0.0297,0.7356,0.5105,0.9827,0.4394,0.0382
1,3,0.4059,0.6545,0.1909,0.1579,0.11,0.7438,0.541,0.9664,0.5491,0.1156
1,4,0.359,0.6213,0.0703,0.0792,0.0355,0.7387,0.5124,0.9871,0.5089,0.0378
2,0,0.3394,0.5952,0.0173,0.0465,0.0097,0.7391,0.5033,0.9978,0.5882,0.0088
2,1,0.3397,0.5979,0.0165,0.0539,0.0102,0.7395,0.5035,0.9986,0.6786,0.0083
2,2,0.3558,0.6165,0.077,0.0664,0.0332,0.7356,0.5117,0.9813,0.4444,0.0422
2,3,0.3987,0.654,0.194,0.1432,0.1042,0.7392,0.5393,0.9586,0.5065,0.1199
2,4,0.3618,0.6218,0.0564,0.07,0.0282,0.7386,0.5098,0.9897,0.5075,0.0299
