,,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score
,,AUCPR,AUROC,F1,MCC,Kappa,Accuracy,Balanced_Accuracy,Specificity,Precision,Recall
repeat,fold,,,,,,,,,,
0,0,0.3221,0.6218,0.0449,0.0834,0.0285,0.7789,0.5094,0.9954,0.5909,0.0233
0,1,0.3037,0.6079,0.0487,0.0463,0.0205,0.7735,0.5068,0.9877,0.3766,0.026
0,2,0.2804,0.5845,0.0228,0.0458,0.0124,0.7771,0.504,0.9964,0.4815,0.0117
0,3,0.3078,0.6096,0.0,0.0,0.0,0.7773,0.5,1.0,0.0,0.0
0,4,0.2962,0.5941,0.0279,0.0557,0.0161,0.7775,0.5053,0.9961,0.5161,0.0144
1,0,0.3169,0.6148,0.0399,0.0804,0.0256,0.7789,0.5084,0.9961,0.6053,0.0206
1,1,0.3054,0.6069,0.0363,0.0576,0.0197,0.7769,0.5065,0.9941,0.4773,0.0189
1,2,0.2768,0.5882,0.052,0.0517,0.0232,0.7739,0.5077,0.9877,0.3924,0.0278
1,3,0.2985,0.602,0.0,0.0,0.0,0.7773,0.5,1.0,0.0,0.0
1,4,0.293,0.5888,0.0506,0.0563,0.0242,0.7749,0.5081,0.9892,0.4167,0.0269
2,0,0.3172,0.6175,0.0315,0.073,0.0204,0.7787,0.5067,0.9972,0.6207,0.0162
2,1,0.2886,0.601,0.0,0.0,0.0,0.7773,0.5,1.0,0.0,0.0
2,2,0.2756,0.5883,0.0611,0.0526,0.026,0.7725,0.5088,0.9843,0.3776,0.0332
2,3,0.3046,0.608,0.0089,0.0442,0.0062,0.7779,0.502,0.9995,0.7143,0.0045
2,4,0.2955,0.5939,0.0442,0.0529,0.0212,0.7753,0.507,0.9907,0.4194,0.0233
