,,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score
,,AUCPR,AUROC,F1,MCC,Kappa,Accuracy,Balanced_Accuracy,Specificity,Precision,Recall
repeat,fold,,,,,,,,,,
0,0,0.3086,0.6027,0.049,0.0544,0.0227,0.7644,0.5076,0.9892,0.4242,0.026
0,1,0.287,0.6009,0.0,0.0,0.0,0.7665,0.5,1.0,0.0,0.0
0,2,0.3116,0.6008,0.0507,0.0544,0.0232,0.7642,0.5078,0.9887,0.4203,0.027
0,3,0.3177,0.6088,0.0,0.0,0.0,0.7665,0.5,1.0,0.0,0.0
0,4,0.2804,0.5872,0.0,0.0,0.0,0.7665,0.5,1.0,0.0,0.0
1,0,0.298,0.6026,0.0,-0.0081,-0.0004,0.7663,0.4999,0.9997,0.0,0.0
1,1,0.3004,0.6104,0.0092,0.0337,0.0054,0.7668,0.5018,0.9989,0.5556,0.0046
1,2,0.3135,0.6061,0.0426,0.0593,0.0219,0.7659,0.5073,0.9924,0.4706,0.0223
1,3,0.3238,0.6098,0.0,0.0,0.0,0.7665,0.5,1.0,0.0,0.0
1,4,0.2644,0.5614,0.0,0.0,0.0,0.7665,0.5,1.0,0.0,0.0
2,0,0.3032,0.5921,0.0238,0.0808,0.0171,0.7687,0.5056,0.9992,0.8125,0.0121
2,1,0.2997,0.6103,0.0267,0.022,0.0077,0.7631,0.5026,0.9912,0.3261,0.0139
2,2,0.3117,0.606,0.044,0.0497,0.0198,0.7644,0.5067,0.9901,0.4167,0.0232
2,3,0.321,0.6099,0.0,0.0,0.0,0.7665,0.5,1.0,0.0,0.0
2,4,0.274,0.5699,0.0,0.0,0.0,0.7665,0.5,1.0,0.0,0.0
