,,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score
,,AUCPR,AUROC,F1,MCC,Kappa,Accuracy,Balanced_Accuracy,Specificity,Precision,Recall
repeat,fold,,,,,,,,,,
0,0,0.5197,0.6422,0.4267,0.2065,0.1966,0.6552,0.5909,0.8315,0.5458,0.3503
0,1,0.5301,0.6629,0.4734,0.2106,0.2088,0.6451,0.6009,0.7663,0.5186,0.4354
0,2,0.5146,0.6443,0.3301,0.1918,0.1591,0.6603,0.5692,0.91,0.5946,0.2285
0,3,0.5402,0.6745,0.4268,0.225,0.2109,0.6649,0.5965,0.8523,0.5714,0.3407
0,4,0.5127,0.6531,0.4236,0.1978,0.1889,0.651,0.5875,0.825,0.5363,0.3501
1,0,0.5233,0.647,0.372,0.1985,0.1762,0.6595,0.5784,0.8816,0.5733,0.2753
1,1,0.524,0.6526,0.4088,0.1956,0.1838,0.6528,0.5842,0.8407,0.5432,0.3278
1,2,0.5111,0.6443,0.3886,0.1844,0.1704,0.6506,0.5773,0.8514,0.5411,0.3032
1,3,0.531,0.6707,0.3929,0.2137,0.1929,0.6639,0.5865,0.8761,0.5808,0.2969
1,4,0.4883,0.6267,0.3089,0.1465,0.1236,0.6442,0.5541,0.8911,0.5353,0.2171
2,0,0.5234,0.6482,0.3812,0.1966,0.1775,0.6575,0.5796,0.8712,0.5637,0.288
2,1,0.521,0.6554,0.4141,0.1968,0.186,0.6524,0.5855,0.8357,0.5413,0.3354
2,2,0.5172,0.6529,0.4295,0.197,0.1896,0.6493,0.5883,0.8163,0.5314,0.3604
2,3,0.5379,0.6762,0.4688,0.2234,0.2194,0.6549,0.6045,0.7933,0.5375,0.4157
2,4,0.4845,0.624,0.3533,0.156,0.1407,0.6423,0.5631,0.8594,0.5231,0.2667
