,,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score
,,AUCPR,AUROC,F1,MCC,Kappa,Accuracy,Balanced_Accuracy,Specificity,Precision,Recall
repeat,fold,,,,,,,,,,
0,0,0.4437,0.5727,0.4467,0.0889,0.0886,0.5641,0.5453,0.6201,0.4252,0.4704
0,1,0.4631,0.5824,0.4863,0.1062,0.1028,0.5517,0.5549,0.5424,0.4255,0.5674
0,2,0.4663,0.5885,0.5158,0.1222,0.1123,0.5385,0.5624,0.4675,0.4244,0.6572
0,3,0.5064,0.6344,0.5442,0.188,0.1759,0.5765,0.5965,0.5169,0.4554,0.6761
0,4,0.4793,0.6007,0.5038,0.1724,0.1711,0.5995,0.5883,0.6328,0.4694,0.5437
1,0,0.4995,0.6025,0.4677,0.1467,0.1467,0.5995,0.5735,0.6766,0.465,0.4704
1,1,0.45,0.5711,0.492,0.1086,0.1043,0.5491,0.5561,0.5282,0.4251,0.5839
1,2,0.456,0.5897,0.4787,0.1053,0.1031,0.557,0.5544,0.565,0.4275,0.5437
1,3,0.453,0.5828,0.4663,0.1135,0.1129,0.5729,0.558,0.6172,0.4378,0.4988
1,4,0.48,0.5989,0.4934,0.1573,0.1563,0.5933,0.5805,0.6314,0.4619,0.5296
2,0,0.4379,0.5731,0.4469,0.087,0.0866,0.5623,0.5443,0.6158,0.4237,0.4728
2,1,0.4838,0.5934,0.461,0.1087,0.1082,0.5721,0.5554,0.6215,0.4358,0.4894
2,2,0.4772,0.5967,0.492,0.1104,0.1063,0.5508,0.557,0.5325,0.4263,0.5816
2,3,0.5138,0.6385,0.5187,0.1863,0.1837,0.6012,0.5958,0.6172,0.4728,0.5745
2,4,0.4808,0.6024,0.5095,0.1887,0.1878,0.6101,0.5963,0.6511,0.4811,0.5414
