,,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score
,,AUCPR,AUROC,F1,MCC,Kappa,Accuracy,Balanced_Accuracy,Specificity,Precision,Recall
repeat,fold,,,,,,,,,,
0,0,0.4235,0.735,0.3356,0.2436,0.2241,0.7848,0.5917,0.932,0.5051,0.2513
0,1,0.4474,0.7335,0.3274,0.2598,0.2292,0.7938,0.5904,0.9488,0.5558,0.232
0,2,0.4376,0.739,0.3361,0.2584,0.2326,0.7914,0.5933,0.9424,0.5391,0.2442
0,3,0.4488,0.7385,0.3949,0.2957,0.2806,0.7931,0.619,0.9259,0.5375,0.3121
0,4,0.4464,0.7399,0.3425,0.2697,0.2416,0.7947,0.5965,0.9457,0.5571,0.2472
1,0,0.447,0.745,0.4007,0.2897,0.2793,0.7876,0.6213,0.9144,0.5143,0.3283
1,1,0.4432,0.7357,0.3586,0.2728,0.2509,0.7922,0.6026,0.9368,0.5397,0.2685
1,2,0.4471,0.7431,0.3522,0.2863,0.2548,0.7993,0.6013,0.9502,0.5831,0.2523
1,3,0.449,0.7356,0.3407,0.2589,0.235,0.7905,0.5949,0.9396,0.5335,0.2503
1,4,0.4647,0.746,0.3997,0.315,0.2938,0.8012,0.6219,0.9379,0.5763,0.306
2,0,0.4155,0.7317,0.315,0.2375,0.2116,0.7874,0.5842,0.9424,0.5198,0.2259
2,1,0.4604,0.7408,0.417,0.3189,0.3043,0.7984,0.63,0.9267,0.5567,0.3333
2,2,0.4312,0.7365,0.2894,0.2435,0.2023,0.7944,0.5769,0.9603,0.5736,0.1935
2,3,0.4473,0.7331,0.3618,0.2774,0.255,0.7936,0.6042,0.9379,0.546,0.2705
2,4,0.451,0.7385,0.3143,0.2551,0.2204,0.7944,0.5857,0.9536,0.5643,0.2178
