,,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score
,,AUCPR,AUROC,F1,MCC,Kappa,Accuracy,Balanced_Accuracy,Specificity,Precision,Recall
repeat,fold,,,,,,,,,,
0,0,0.3773,0.7072,0.2987,0.2178,0.1991,0.8006,0.5797,0.939,0.4628,0.2205
0,1,0.3611,0.6865,0.3063,0.2267,0.2075,0.8025,0.5831,0.9399,0.4733,0.2264
0,2,0.3542,0.6878,0.3042,0.2286,0.2077,0.804,0.5826,0.9427,0.4809,0.2224
0,3,0.4207,0.7286,0.3553,0.2687,0.2531,0.8074,0.6049,0.9343,0.5,0.2756
0,4,0.3915,0.7069,0.3032,0.2423,0.2144,0.8101,0.5833,0.9521,0.5166,0.2146
1,0,0.3963,0.6993,0.3768,0.2779,0.2678,0.8044,0.615,0.923,0.4875,0.3071
1,1,0.4185,0.7175,0.3623,0.2646,0.2536,0.8025,0.6079,0.9244,0.479,0.2913
1,2,0.3424,0.6889,0.2986,0.2039,0.1907,0.7934,0.5783,0.9282,0.4312,0.2283
1,3,0.3946,0.7143,0.3169,0.24,0.2197,0.8055,0.588,0.9418,0.4897,0.2343
1,4,0.4297,0.7262,0.3735,0.2794,0.2674,0.8067,0.6135,0.9277,0.4967,0.2992
2,0,0.3584,0.6791,0.259,0.2022,0.1733,0.8048,0.5658,0.9545,0.4813,0.1772
2,1,0.3977,0.7071,0.3219,0.2424,0.2232,0.8052,0.59,0.9399,0.488,0.2402
2,2,0.4091,0.7192,0.2949,0.2365,0.2075,0.8097,0.5801,0.9535,0.5147,0.2067
2,3,0.4151,0.7232,0.3893,0.2955,0.2839,0.8097,0.6213,0.9277,0.5096,0.315
2,4,0.3944,0.7149,0.3514,0.2707,0.2525,0.8097,0.6033,0.939,0.5113,0.2677
