,,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score
,,AUCPR,AUROC,F1,MCC,Kappa,Accuracy,Balanced_Accuracy,Specificity,Precision,Recall
repeat,fold,,,,,,,,,,
0,0,0.4141,0.7539,0.2616,0.2113,0.1813,0.8155,0.5684,0.958,0.4877,0.1787
0,1,0.4078,0.7511,0.3233,0.2484,0.2296,0.8146,0.5924,0.9428,0.4864,0.2421
0,2,0.4163,0.761,0.2889,0.2263,0.2018,0.8146,0.5784,0.9509,0.484,0.2059
0,3,0.4214,0.7541,0.3497,0.2646,0.2507,0.8138,0.6042,0.9347,0.484,0.2738
0,4,0.4017,0.754,0.3221,0.2531,0.2316,0.8171,0.5922,0.9468,0.5,0.2376
1,0,0.4252,0.7443,0.3156,0.2529,0.2283,0.8188,0.5897,0.9509,0.5101,0.2285
1,1,0.4221,0.7614,0.3186,0.2608,0.2337,0.8213,0.5912,0.9539,0.526,0.2285
1,2,0.4162,0.7611,0.3492,0.2635,0.2498,0.8134,0.604,0.9342,0.4821,0.2738
1,3,0.4025,0.7451,0.3376,0.2437,0.2329,0.8068,0.5982,0.9271,0.4525,0.2692
1,4,0.388,0.7381,0.3202,0.2312,0.2183,0.8068,0.5903,0.9316,0.449,0.2489
2,0,0.4004,0.7439,0.2435,0.2144,0.1736,0.82,0.5632,0.9681,0.5263,0.1584
2,1,0.4064,0.7535,0.2427,0.2035,0.1684,0.8167,0.5621,0.9635,0.4965,0.1606
2,2,0.4127,0.7456,0.3413,0.2437,0.2343,0.8051,0.5998,0.9235,0.4469,0.276
2,3,0.3912,0.7367,0.2697,0.207,0.1828,0.8118,0.5705,0.9509,0.4641,0.19
2,4,0.4019,0.7444,0.3122,0.244,0.2221,0.8159,0.5879,0.9473,0.4927,0.2285
