,,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score
,,AUCPR,AUROC,F1,MCC,Kappa,Accuracy,Balanced_Accuracy,Specificity,Precision,Recall
repeat,fold,,,,,,,,,,
0,0,0.651,0.7629,0.5688,0.3697,0.3631,0.7168,0.673,0.8419,0.6524,0.5042
0,1,0.6578,0.7629,0.5808,0.3761,0.3717,0.7181,0.6788,0.8305,0.6466,0.5271
0,2,0.6455,0.7573,0.5609,0.3684,0.3593,0.7173,0.67,0.8525,0.6605,0.4874
0,3,0.6319,0.7488,0.5381,0.3379,0.3288,0.7045,0.6551,0.8458,0.6393,0.4645
0,4,0.6457,0.7575,0.5791,0.3824,0.3761,0.722,0.6796,0.8432,0.6595,0.5161
1,0,0.6487,0.7607,0.5974,0.3824,0.381,0.7176,0.6863,0.8071,0.6331,0.5655
1,1,0.6419,0.7547,0.5563,0.3625,0.3534,0.7148,0.667,0.8515,0.6567,0.4826
1,2,0.6482,0.7604,0.5796,0.3783,0.3731,0.7196,0.6789,0.8359,0.6518,0.5218
1,3,0.6535,0.7573,0.5691,0.3612,0.3564,0.7119,0.6711,0.8287,0.6382,0.5135
1,4,0.6527,0.7648,0.5632,0.3644,0.3572,0.7148,0.6699,0.8435,0.651,0.4963
2,0,0.657,0.7629,0.5822,0.3864,0.3801,0.7236,0.6817,0.8437,0.6618,0.5196
2,1,0.6396,0.7512,0.575,0.363,0.3595,0.7116,0.6735,0.8204,0.6331,0.5267
2,2,0.6509,0.7667,0.5885,0.3797,0.3767,0.7184,0.6824,0.8214,0.6417,0.5434
2,3,0.63,0.7394,0.5449,0.3448,0.3363,0.7071,0.659,0.8448,0.6421,0.4733
2,4,0.6423,0.755,0.5651,0.357,0.3519,0.7102,0.6687,0.8292,0.6365,0.5082
