,,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score
,,AUCPR,AUROC,F1,MCC,Kappa,Accuracy,Balanced_Accuracy,Specificity,Precision,Recall
repeat,fold,,,,,,,,,,
0,0,0.7173,0.757,0.6185,0.3478,0.3407,0.6741,0.6688,0.7836,0.7,0.554
0,1,0.7265,0.7636,0.6667,0.3836,0.3827,0.693,0.6908,0.7377,0.6911,0.6439
0,2,0.7288,0.7792,0.6908,0.4119,0.4118,0.7067,0.7058,0.7246,0.6945,0.6871
0,3,0.7349,0.775,0.6952,0.4126,0.4126,0.7067,0.7065,0.7115,0.689,0.7014
0,4,0.7062,0.7585,0.6405,0.3711,0.3661,0.6861,0.6817,0.777,0.7056,0.5863
1,0,0.712,0.758,0.6376,0.342,0.3403,0.6724,0.6694,0.7344,0.6747,0.6043
1,1,0.7244,0.7739,0.7204,0.4439,0.442,0.7204,0.722,0.6885,0.6885,0.7554
1,2,0.7052,0.7684,0.6691,0.3837,0.3831,0.693,0.6911,0.7311,0.6882,0.6511
1,3,0.7394,0.7781,0.6929,0.4091,0.4091,0.705,0.7047,0.7115,0.6879,0.6978
1,4,0.7321,0.7723,0.6417,0.3747,0.3695,0.6878,0.6833,0.7803,0.7087,0.5863
2,0,0.7362,0.7521,0.6629,0.3801,0.379,0.6913,0.6888,0.741,0.6914,0.6367
2,1,0.7288,0.7742,0.6642,0.3836,0.3824,0.693,0.6905,0.7443,0.6941,0.6367
2,2,0.7173,0.7756,0.5721,0.3641,0.3349,0.6741,0.6645,0.8721,0.7651,0.4568
2,3,0.7246,0.7602,0.6788,0.3911,0.391,0.6964,0.6953,0.718,0.685,0.6727
2,4,0.7069,0.756,0.5992,0.336,0.3253,0.6672,0.6608,0.8,0.7039,0.5216
