,,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score
,,AUCPR,AUROC,F1,MCC,Kappa,Accuracy,Balanced_Accuracy,Specificity,Precision,Recall
repeat,fold,,,,,,,,,,
0,0,0.4928,0.7433,0.385,0.3073,0.2828,0.8025,0.6156,0.9429,0.5795,0.2882
0,1,0.4623,0.749,0.3479,0.2774,0.2487,0.798,0.5993,0.9472,0.5652,0.2513
0,2,0.4953,0.751,0.367,0.3084,0.2738,0.8063,0.6084,0.9549,0.6132,0.2619
0,3,0.489,0.7419,0.3814,0.3101,0.2823,0.8044,0.6142,0.9472,0.5926,0.2812
0,4,0.4988,0.763,0.4165,0.3244,0.3077,0.8025,0.6303,0.9319,0.5684,0.3286
1,0,0.478,0.7355,0.3583,0.3151,0.2718,0.8096,0.6054,0.9631,0.6468,0.2478
1,1,0.4576,0.7327,0.3676,0.2996,0.2699,0.8029,0.6081,0.9491,0.5891,0.2671
1,2,0.5125,0.7605,0.4359,0.3423,0.3272,0.8059,0.6401,0.9304,0.5785,0.3497
1,3,0.4936,0.735,0.3817,0.3309,0.2921,0.8119,0.6152,0.9597,0.6471,0.2707
1,4,0.482,0.7382,0.3519,0.3044,0.2635,0.807,0.6025,0.9607,0.629,0.2443
2,0,0.4923,0.7421,0.3907,0.3344,0.2989,0.8119,0.619,0.9568,0.64,0.2812
2,1,0.4516,0.7278,0.3502,0.2768,0.2495,0.7972,0.6001,0.9453,0.5598,0.2548
2,2,0.4968,0.7436,0.3901,0.3171,0.2904,0.8055,0.6181,0.9463,0.5957,0.29
2,3,0.4867,0.7327,0.4151,0.335,0.3127,0.8078,0.6298,0.9415,0.5974,0.3181
2,4,0.4888,0.7506,0.3848,0.3127,0.2854,0.8047,0.6157,0.9467,0.5934,0.2847
