,,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score
,,AUCPR,AUROC,F1,MCC,Kappa,Accuracy,Balanced_Accuracy,Specificity,Precision,Recall
repeat,fold,,,,,,,,,,
0,0,0.4457,0.7433,0.3622,0.2611,0.2457,0.7854,0.6031,0.9245,0.5073,0.2817
0,1,0.4281,0.7281,0.3282,0.2469,0.2228,0.7883,0.5895,0.9399,0.5233,0.2391
0,2,0.4284,0.7285,0.3136,0.2476,0.2163,0.7918,0.5848,0.9497,0.5466,0.2199
0,3,0.4651,0.7516,0.4418,0.3171,0.3128,0.7868,0.6432,0.8963,0.5093,0.3901
0,4,0.447,0.7438,0.3744,0.2814,0.263,0.792,0.6095,0.9312,0.5358,0.2877
1,0,0.4398,0.7351,0.383,0.267,0.2576,0.7811,0.612,0.91,0.4905,0.3141
1,1,0.4562,0.7377,0.3755,0.2918,0.2694,0.7966,0.6106,0.9385,0.5591,0.2827
1,2,0.4476,0.7415,0.3019,0.2486,0.211,0.7942,0.5812,0.9567,0.567,0.2057
1,3,0.4362,0.7352,0.3259,0.2579,0.2275,0.7933,0.5898,0.9485,0.5534,0.231
1,4,0.4559,0.7437,0.3628,0.2871,0.2606,0.7975,0.6053,0.9441,0.568,0.2665
2,0,0.4352,0.7348,0.3467,0.2693,0.2435,0.7936,0.598,0.9427,0.5495,0.2533
2,1,0.4405,0.7335,0.327,0.254,0.226,0.7916,0.5898,0.9455,0.5423,0.234
2,2,0.453,0.7438,0.3952,0.2914,0.2781,0.7907,0.6189,0.9217,0.527,0.3161
2,3,0.4313,0.727,0.3352,0.2538,0.2297,0.7896,0.5925,0.9399,0.5295,0.2452
2,4,0.4513,0.7408,0.36,0.2712,0.2507,0.7911,0.603,0.9346,0.5339,0.2715
