,,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score
,,AUCPR,AUROC,F1,MCC,Kappa,Accuracy,Balanced_Accuracy,Specificity,Precision,Recall
repeat,fold,,,,,,,,,,
0,0,0.4249,0.7192,0.3557,0.2839,0.2617,0.8146,0.6056,0.9455,0.5378,0.2657
0,1,0.4431,0.7298,0.3679,0.298,0.2751,0.8177,0.6113,0.9469,0.5534,0.2756
0,2,0.3863,0.7053,0.2485,0.2175,0.1753,0.812,0.5643,0.9671,0.5395,0.1614
0,3,0.4246,0.7385,0.3212,0.2511,0.2277,0.8093,0.5904,0.9465,0.5107,0.2343
0,4,0.4383,0.736,0.3961,0.3015,0.2905,0.8105,0.6248,0.9268,0.5125,0.3228
1,0,0.4091,0.7084,0.2944,0.2305,0.2042,0.8074,0.5794,0.9502,0.5,0.2087
1,1,0.4215,0.7083,0.3653,0.2833,0.266,0.8116,0.6098,0.938,0.52,0.2815
1,2,0.4002,0.7176,0.2841,0.2334,0.2006,0.8108,0.5763,0.9577,0.5238,0.1949
1,3,0.4143,0.7287,0.3035,0.2526,0.2196,0.8139,0.5842,0.9577,0.5431,0.2106
1,4,0.4291,0.7278,0.3385,0.2578,0.2394,0.8074,0.5974,0.939,0.5,0.2559
2,0,0.4107,0.7149,0.3532,0.2666,0.251,0.8071,0.6039,0.9343,0.4982,0.2736
2,1,0.417,0.7169,0.3355,0.2567,0.2374,0.8078,0.5962,0.9404,0.502,0.252
2,2,0.3817,0.7127,0.2744,0.2136,0.1862,0.8055,0.5715,0.9521,0.4874,0.1909
2,3,0.4121,0.7301,0.3068,0.2483,0.2192,0.8116,0.585,0.9535,0.5263,0.2165
2,4,0.4266,0.723,0.3496,0.2887,0.2609,0.818,0.6033,0.9526,0.5609,0.2539
