,,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score
,,AUCPR,AUROC,F1,MCC,Kappa,Accuracy,Balanced_Accuracy,Specificity,Precision,Recall
repeat,fold,,,,,,,,,,
0,0,0.4315,0.7441,0.2787,0.2284,0.1979,0.818,0.5751,0.958,0.506,0.1923
0,1,0.4796,0.7684,0.3841,0.3273,0.3007,0.8329,0.6203,0.9554,0.5888,0.2851
0,2,0.4018,0.7279,0.2554,0.2041,0.1748,0.8142,0.5658,0.9575,0.4783,0.1742
0,3,0.449,0.7426,0.3934,0.3036,0.2931,0.8188,0.6257,0.9301,0.5071,0.3213
0,4,0.4463,0.744,0.3578,0.2795,0.2629,0.8188,0.6081,0.9403,0.5083,0.276
1,0,0.43,0.7359,0.3678,0.2793,0.2673,0.8151,0.6129,0.9316,0.4906,0.2941
1,1,0.4706,0.7621,0.3518,0.3187,0.2778,0.8353,0.606,0.9676,0.6279,0.2443
1,2,0.4317,0.7405,0.3492,0.286,0.2619,0.8242,0.6044,0.9509,0.5403,0.2579
1,3,0.4072,0.7261,0.3005,0.2491,0.2188,0.8209,0.5839,0.9575,0.5254,0.2104
1,4,0.443,0.7393,0.3354,0.2708,0.2473,0.8213,0.5982,0.9499,0.524,0.2466
2,0,0.4485,0.7471,0.395,0.3048,0.2945,0.8188,0.6266,0.9296,0.5071,0.3235
2,1,0.4387,0.7481,0.2729,0.2497,0.204,0.8258,0.5747,0.9706,0.5766,0.1787
2,2,0.4349,0.7443,0.3155,0.2568,0.2302,0.8204,0.5898,0.9534,0.5208,0.2262
2,3,0.4434,0.7399,0.3383,0.2601,0.243,0.8155,0.5991,0.9403,0.4914,0.2579
2,4,0.4341,0.7331,0.2989,0.2552,0.2207,0.8233,0.5837,0.9615,0.5449,0.2059
