,,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score
,,AUCPR,AUROC,F1,MCC,Kappa,Accuracy,Balanced_Accuracy,Specificity,Precision,Recall
repeat,fold,,,,,,,,,,
0,0,0.6923,0.7907,0.6393,0.4275,0.4275,0.7331,0.7136,0.7889,0.6403,0.6383
0,1,0.6914,0.7891,0.6069,0.4046,0.402,0.729,0.6952,0.8258,0.6561,0.5646
0,2,0.6908,0.7956,0.6288,0.4287,0.4274,0.7382,0.7095,0.8204,0.6623,0.5986
0,3,0.6891,0.7892,0.6143,0.4072,0.4058,0.7286,0.6987,0.8139,0.6485,0.5836
0,4,0.6937,0.7959,0.6131,0.4189,0.4153,0.7362,0.7008,0.8375,0.6714,0.5642
1,0,0.6903,0.7905,0.6097,0.4209,0.4157,0.738,0.6998,0.8474,0.6804,0.5523
1,1,0.6923,0.7885,0.6302,0.4258,0.4251,0.7357,0.7094,0.811,0.6543,0.6079
1,2,0.6974,0.799,0.6374,0.4311,0.4309,0.7367,0.7137,0.8027,0.6507,0.6246
1,3,0.6906,0.7907,0.5944,0.4092,0.4016,0.7341,0.6913,0.8567,0.6835,0.5258
1,4,0.6906,0.7921,0.6192,0.4142,0.4129,0.7317,0.7023,0.8157,0.6528,0.5889
2,0,0.6892,0.7883,0.6075,0.4141,0.4098,0.7346,0.6975,0.8406,0.6718,0.5545
2,1,0.7016,0.7971,0.6311,0.4214,0.4212,0.7323,0.7088,0.7996,0.6447,0.618
2,2,0.6874,0.7926,0.6063,0.4109,0.4068,0.733,0.6963,0.8377,0.6681,0.5549
2,3,0.6945,0.7942,0.5911,0.4097,0.4006,0.7348,0.69,0.8627,0.6892,0.5174
2,4,0.6956,0.7939,0.5983,0.4047,0.3996,0.731,0.6919,0.8429,0.6696,0.5408
