,,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score
,,AUCPR,AUROC,F1,MCC,Kappa,Accuracy,Balanced_Accuracy,Specificity,Precision,Recall
repeat,fold,,,,,,,,,,
0,0,0.7217,0.7421,0.6489,0.3664,0.3642,0.6844,0.6812,0.7508,0.6911,0.6115
0,1,0.7327,0.7834,0.7361,0.4802,0.4791,0.7393,0.7403,0.718,0.7114,0.7626
0,2,0.745,0.7975,0.7194,0.4637,0.4637,0.7324,0.7318,0.7443,0.7194,0.7194
0,3,0.7569,0.8003,0.7332,0.471,0.4692,0.7341,0.7356,0.7049,0.703,0.7662
0,4,0.7411,0.7924,0.6769,0.4224,0.4191,0.7118,0.7084,0.7836,0.7273,0.6331
1,0,0.7155,0.7421,0.6441,0.3489,0.3476,0.6758,0.6731,0.7311,0.6759,0.6151
1,1,0.7539,0.8036,0.7332,0.471,0.4692,0.7341,0.7356,0.7049,0.703,0.7662
1,2,0.7376,0.7953,0.7201,0.4607,0.4607,0.7307,0.7305,0.7344,0.7138,0.7266
1,3,0.7482,0.7968,0.7257,0.4681,0.4679,0.7341,0.7343,0.7311,0.7143,0.7374
1,4,0.7408,0.7901,0.6587,0.4105,0.4037,0.705,0.7002,0.8033,0.7345,0.5971
2,0,0.7173,0.743,0.6679,0.3579,0.3578,0.6792,0.6791,0.682,0.6596,0.6763
2,1,0.7421,0.7945,0.7452,0.503,0.5025,0.7513,0.7518,0.741,0.7285,0.7626
2,2,0.7474,0.8002,0.7236,0.477,0.4769,0.7393,0.7382,0.7607,0.7316,0.7158
2,3,0.7655,0.8081,0.7479,0.4989,0.4968,0.7479,0.7495,0.7148,0.7148,0.7842
2,4,0.7461,0.7945,0.6783,0.4298,0.4256,0.7153,0.7115,0.7934,0.7353,0.6295
