,,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score
,,AUCPR,AUROC,F1,MCC,Kappa,Accuracy,Balanced_Accuracy,Specificity,Precision,Recall
repeat,fold,,,,,,,,,,
0,0,0.5394,0.7841,0.4238,0.3635,0.3313,0.8176,0.6341,0.9554,0.6568,0.3128
0,1,0.5123,0.7836,0.4292,0.3377,0.3213,0.8055,0.6366,0.9323,0.5791,0.3409
0,2,0.5354,0.7772,0.4323,0.3464,0.3276,0.8089,0.6382,0.9371,0.5957,0.3392
0,3,0.5428,0.784,0.4311,0.3597,0.3337,0.8149,0.6375,0.9482,0.6327,0.3269
0,4,0.5134,0.7782,0.4392,0.3533,0.3349,0.8104,0.6417,0.9371,0.6006,0.3462
1,0,0.5285,0.7708,0.4262,0.3585,0.3304,0.8153,0.6352,0.9506,0.6386,0.3199
1,1,0.4905,0.7599,0.411,0.3277,0.3067,0.8055,0.6277,0.9391,0.5863,0.3163
1,2,0.5434,0.7827,0.4619,0.3726,0.357,0.8138,0.6534,0.9343,0.6074,0.3726
1,3,0.5355,0.781,0.4457,0.3719,0.3479,0.8172,0.6447,0.9467,0.6373,0.3427
1,4,0.5174,0.7783,0.4356,0.3474,0.3298,0.8085,0.6398,0.9352,0.5921,0.3445
2,0,0.5317,0.7755,0.4395,0.372,0.3444,0.8183,0.6416,0.9511,0.6495,0.3322
2,1,0.5085,0.7761,0.4249,0.3408,0.3208,0.8081,0.6345,0.9386,0.5949,0.3304
2,2,0.5398,0.7807,0.4301,0.3574,0.332,0.8142,0.6371,0.9472,0.6284,0.3269
2,3,0.5343,0.7786,0.4427,0.3609,0.3407,0.813,0.6434,0.9405,0.6137,0.3462
2,4,0.5182,0.779,0.441,0.3512,0.3347,0.8089,0.6426,0.9338,0.5917,0.3515
