,,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score
,,AUCPR,AUROC,F1,MCC,Kappa,Accuracy,Balanced_Accuracy,Specificity,Precision,Recall
repeat,fold,,,,,,,,,,
0,0,0.4752,0.7616,0.3929,0.3019,0.2833,0.7968,0.6184,0.9329,0.5556,0.304
0,1,0.4962,0.7746,0.4259,0.3163,0.3065,0.7938,0.6344,0.9153,0.5353,0.3536
0,2,0.4885,0.7704,0.3858,0.3041,0.281,0.7997,0.6155,0.9402,0.5729,0.2908
0,3,0.4835,0.7671,0.4294,0.3197,0.3102,0.7944,0.6363,0.915,0.5373,0.3576
0,4,0.482,0.7632,0.4089,0.3083,0.2943,0.7953,0.6259,0.9245,0.5447,0.3273
1,0,0.4698,0.7661,0.4,0.3008,0.2859,0.7942,0.6215,0.9259,0.5415,0.3171
1,1,0.4817,0.767,0.4039,0.3108,0.2935,0.7982,0.6237,0.9312,0.5591,0.3161
1,2,0.495,0.7734,0.4138,0.3268,0.3072,0.8032,0.6287,0.9362,0.5817,0.3212
1,3,0.4803,0.7687,0.4101,0.3074,0.2943,0.7944,0.6264,0.9225,0.5406,0.3303
1,4,0.4876,0.7676,0.4078,0.3157,0.2981,0.7995,0.6256,0.932,0.5645,0.3191
2,0,0.4547,0.7511,0.3616,0.2823,0.2576,0.7957,0.6045,0.9416,0.5581,0.2675
2,1,0.4882,0.7714,0.3995,0.3158,0.2941,0.8017,0.6219,0.9388,0.5788,0.305
2,2,0.5015,0.7802,0.4119,0.3198,0.3024,0.8004,0.6276,0.932,0.5676,0.3232
2,3,0.479,0.7603,0.4232,0.3211,0.3084,0.7975,0.6331,0.9228,0.5512,0.3435
2,4,0.4739,0.7581,0.3527,0.2814,0.2527,0.7973,0.6011,0.9469,0.5701,0.2553
