,,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score
,,AUCPR,AUROC,F1,MCC,Kappa,Accuracy,Balanced_Accuracy,Specificity,Precision,Recall
repeat,fold,,,,,,,,,,
0,0,0.4415,0.7375,0.3306,0.2764,0.2449,0.8173,0.5953,0.9563,0.5613,0.2343
0,1,0.4607,0.7395,0.309,0.2749,0.2323,0.8203,0.5874,0.9662,0.5955,0.2087
0,2,0.4518,0.7438,0.3362,0.2923,0.2551,0.8218,0.5981,0.962,0.595,0.2343
0,3,0.4632,0.7559,0.2883,0.2728,0.2194,0.8222,0.5804,0.9737,0.6291,0.187
0,4,0.4576,0.7549,0.3267,0.2832,0.2458,0.8203,0.5942,0.962,0.5867,0.2264
1,0,0.45,0.7386,0.3225,0.2755,0.2401,0.8184,0.5923,0.9601,0.5729,0.2244
1,1,0.445,0.739,0.2179,0.2261,0.1617,0.8177,0.5566,0.9812,0.6262,0.1319
1,2,0.455,0.7465,0.3634,0.3099,0.2783,0.8234,0.6095,0.9573,0.5938,0.2618
1,3,0.4597,0.7556,0.2832,0.254,0.2092,0.8177,0.5775,0.9681,0.5828,0.187
1,4,0.4705,0.7559,0.3229,0.2813,0.2429,0.8203,0.5927,0.9629,0.5885,0.2224
2,0,0.4439,0.7392,0.323,0.2725,0.2391,0.8173,0.5923,0.9582,0.5637,0.2264
2,1,0.4679,0.7488,0.3213,0.2866,0.2442,0.8222,0.5924,0.9662,0.6066,0.2185
2,2,0.4365,0.7402,0.3315,0.2833,0.2485,0.8196,0.596,0.9596,0.5784,0.2323
2,3,0.4503,0.7551,0.2987,0.2638,0.2219,0.8184,0.5833,0.9657,0.5829,0.2008
2,4,0.4525,0.7423,0.3077,0.2821,0.2344,0.8226,0.5873,0.97,0.619,0.2047
