,,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score
,,AUCPR,AUROC,F1,MCC,Kappa,Accuracy,Balanced_Accuracy,Specificity,Precision,Recall
repeat,fold,,,,,,,,,,
0,0,0.4885,0.7847,0.3562,0.3036,0.2741,0.8295,0.6077,0.9575,0.5758,0.2579
0,1,0.4969,0.7935,0.4041,0.3328,0.3144,0.8304,0.6302,0.9458,0.565,0.3145
0,2,0.4764,0.7763,0.3743,0.3076,0.2859,0.8271,0.6158,0.9489,0.5531,0.2828
0,3,0.4911,0.7867,0.4042,0.3413,0.3186,0.8341,0.6298,0.9519,0.5887,0.3077
0,4,0.4885,0.7854,0.4012,0.3407,0.3166,0.8345,0.6283,0.9534,0.5929,0.3032
1,0,0.5034,0.7878,0.4276,0.3499,0.3356,0.8316,0.6423,0.9408,0.5651,0.3439
1,1,0.4789,0.7827,0.3576,0.3112,0.2782,0.832,0.6083,0.961,0.5947,0.2557
1,2,0.4837,0.784,0.3807,0.3191,0.295,0.8304,0.6187,0.9524,0.5727,0.2851
1,3,0.4786,0.7909,0.3988,0.3325,0.3114,0.8316,0.6274,0.9494,0.5745,0.3054
1,4,0.4889,0.7824,0.367,0.3149,0.2853,0.8316,0.6125,0.958,0.5871,0.267
2,0,0.4931,0.7821,0.4193,0.3422,0.3273,0.8304,0.6381,0.9413,0.5606,0.3348
2,1,0.484,0.7894,0.351,0.3117,0.2746,0.8333,0.6056,0.9646,0.6089,0.2466
2,2,0.4821,0.7795,0.3976,0.3299,0.3095,0.8308,0.6269,0.9484,0.5696,0.3054
2,3,0.4914,0.7928,0.3941,0.3278,0.3065,0.8308,0.6251,0.9494,0.5708,0.3009
2,4,0.492,0.7839,0.3787,0.3324,0.2998,0.8357,0.6176,0.9615,0.6142,0.2738
