,,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score
,,AUCPR,AUROC,F1,MCC,Kappa,Accuracy,Balanced_Accuracy,Specificity,Precision,Recall
repeat,fold,,,,,,,,,,
0,0,0.7046,0.8032,0.6401,0.4433,0.4423,0.7442,0.7174,0.8209,0.6686,0.614
0,1,0.7077,0.8021,0.6371,0.4418,0.4405,0.7442,0.7158,0.8255,0.6716,0.6061
0,2,0.702,0.8043,0.6357,0.4362,0.4353,0.741,0.714,0.818,0.6636,0.6101
0,3,0.7088,0.8063,0.6417,0.4436,0.4428,0.7439,0.7182,0.8175,0.6662,0.6189
0,4,0.7048,0.8059,0.6322,0.4392,0.437,0.7439,0.7131,0.832,0.6755,0.5942
1,0,0.7067,0.8041,0.6454,0.4462,0.4458,0.7444,0.7204,0.8131,0.664,0.6277
1,1,0.7074,0.8042,0.6451,0.4425,0.4423,0.7418,0.7195,0.8056,0.6572,0.6334
1,2,0.7042,0.8062,0.6392,0.4421,0.4411,0.7437,0.7168,0.8209,0.6681,0.6127
1,3,0.7059,0.8046,0.635,0.4325,0.4319,0.7387,0.7129,0.8123,0.658,0.6136
1,4,0.7073,0.8071,0.6359,0.442,0.4403,0.7447,0.7153,0.8289,0.6742,0.6017
2,0,0.7045,0.803,0.6481,0.4494,0.449,0.7455,0.7223,0.812,0.6645,0.6326
2,1,0.7034,0.8023,0.6407,0.4391,0.4386,0.7411,0.7168,0.8107,0.6595,0.6228
2,2,0.7056,0.8049,0.6394,0.4482,0.4464,0.7477,0.7181,0.8323,0.6794,0.6039
2,3,0.7005,0.8019,0.6352,0.436,0.435,0.741,0.7138,0.8188,0.6641,0.6087
2,4,0.7104,0.8078,0.6366,0.4386,0.4375,0.7423,0.7149,0.8206,0.6665,0.6092
