,,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score
,,AUCPR,AUROC,F1,MCC,Kappa,Accuracy,Balanced_Accuracy,Specificity,Precision,Recall
repeat,fold,,,,,,,,,,
0,0,0.722,0.7915,0.7097,0.4432,0.4432,0.7221,0.7217,0.7311,0.7071,0.7122
0,1,0.7096,0.7862,0.727,0.4629,0.4619,0.7307,0.7316,0.7115,0.7037,0.7518
0,2,0.7071,0.7796,0.7038,0.418,0.4172,0.7084,0.7092,0.6918,0.6824,0.7266
0,3,0.7359,0.8014,0.716,0.4478,0.4475,0.7238,0.7241,0.718,0.7024,0.7302
0,4,0.7282,0.7907,0.6937,0.4285,0.428,0.7153,0.7135,0.7508,0.7121,0.6763
1,0,0.7183,0.7863,0.6957,0.4221,0.4221,0.7118,0.7109,0.7311,0.7007,0.6906
1,1,0.7271,0.788,0.7387,0.4867,0.4858,0.7427,0.7436,0.7246,0.7162,0.7626
1,2,0.704,0.7793,0.7079,0.4196,0.418,0.7084,0.7098,0.6787,0.6776,0.741
1,3,0.7435,0.8078,0.7358,0.4774,0.4759,0.7376,0.7388,0.7115,0.7076,0.7662
1,4,0.7239,0.7916,0.6989,0.4226,0.4226,0.7118,0.7114,0.7213,0.6964,0.7014
2,0,0.7338,0.8044,0.72,0.4702,0.4701,0.7358,0.7348,0.7574,0.7279,0.7122
2,1,0.7282,0.7935,0.7218,0.4582,0.4578,0.729,0.7294,0.7213,0.7069,0.7374
2,2,0.7131,0.7887,0.7223,0.4449,0.4424,0.7204,0.7223,0.682,0.6861,0.7626
2,3,0.7334,0.804,0.7466,0.4957,0.4934,0.7461,0.7478,0.7115,0.7124,0.7842
2,4,0.7371,0.7945,0.6888,0.4182,0.4178,0.7101,0.7085,0.7443,0.7057,0.6727
