,,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score
,,MSE,RMSE,MAE,R2,PCC,SCC
repeat,fold,,,,,,
0,0,64.6661,8.0415,5.2123,0.6081,0.7822,0.7132
0,1,67.0014,8.1854,5.2572,0.5939,0.7748,0.7143
0,2,68.4025,8.2706,5.2681,0.5855,0.7686,0.7202
0,3,62.5805,7.9108,5.0695,0.6207,0.7898,0.7313
0,4,62.7816,7.9235,5.149,0.6195,0.7891,0.7198
1,0,68.1983,8.2582,5.2821,0.5867,0.7683,0.7064
1,1,65.7938,8.1113,5.1894,0.6013,0.7785,0.7185
1,2,61.1019,7.8168,5.0396,0.6297,0.7948,0.7264
1,3,64.94,8.0585,5.2144,0.6064,0.7803,0.7154
1,4,63.0915,7.943,5.1203,0.6176,0.7897,0.7259
2,0,68.1165,8.2533,5.2589,0.5872,0.7702,0.7152
2,1,65.9347,8.12,5.1586,0.6004,0.7778,0.7224
2,2,63.2814,7.955,5.1776,0.6165,0.7857,0.7155
2,3,64.9943,8.0619,5.1833,0.6061,0.7806,0.7183
2,4,64.8328,8.0519,5.1531,0.6071,0.7831,0.7262
