,,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score
,,MSE,RMSE,MAE,R2,PCC,SCC
repeat,fold,,,,,,
0,0,63.5279,7.9704,5.1026,0.615,0.7856,0.7219
0,1,63.8468,7.9904,5.1627,0.6131,0.7843,0.7157
0,2,63.6632,7.9789,5.1813,0.6142,0.7844,0.7195
0,3,61.987,7.8732,4.9702,0.6243,0.7917,0.7276
0,4,64.4671,8.0291,5.201,0.6093,0.7841,0.7194
1,0,63.5767,7.9735,5.0967,0.6147,0.7867,0.7217
1,1,59.9987,7.7459,4.9443,0.6364,0.7985,0.7373
1,2,66.1799,8.1351,5.2262,0.5989,0.7751,0.717
1,3,59.9415,7.7422,4.9798,0.6367,0.799,0.7269
1,4,66.5347,8.1569,5.3571,0.5968,0.7739,0.6959
2,0,63.5334,7.9708,5.1675,0.615,0.787,0.7294
2,1,63.9191,7.9949,5.1953,0.6126,0.7836,0.7177
2,2,60.6486,7.7877,5.0072,0.6324,0.797,0.7337
2,3,59.647,7.7231,5.0738,0.6385,0.7999,0.7224
2,4,69.4128,8.3314,5.4293,0.5793,0.763,0.6941
