,,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score
,,MSE,RMSE,MAE,R2,PCC,SCC
repeat,fold,,,,,,
0,0,73.3073,8.562,5.5363,0.5917,0.7709,0.71
0,1,77.8235,8.8218,5.6642,0.5665,0.7544,0.7042
0,2,73.2327,8.5576,5.5881,0.5921,0.7719,0.7086
0,3,75.3086,8.6781,5.583,0.5805,0.764,0.7111
0,4,74.7292,8.6446,5.5615,0.5837,0.7662,0.7144
1,0,75.5371,8.6912,5.5977,0.5792,0.7628,0.706
1,1,77.9297,8.8278,5.6232,0.5659,0.756,0.7111
1,2,82.305,9.0722,5.8331,0.5415,0.7396,0.6921
1,3,78.6392,8.8679,5.7226,0.562,0.7529,0.7068
1,4,78.1353,8.8394,5.6943,0.5648,0.7547,0.6983
2,0,75.6007,8.6949,5.5935,0.5789,0.7627,0.7089
2,1,71.083,8.4311,5.4367,0.604,0.7799,0.7283
2,2,76.4763,8.7451,5.6647,0.574,0.7609,0.7096
2,3,76.6989,8.7578,5.5898,0.5728,0.7597,0.7183
2,4,78.0423,8.8342,5.6654,0.5653,0.7551,0.7014
