,,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score
,,MSE,RMSE,MAE,R2,PCC,SCC
repeat,fold,,,,,,
0,0,70.0207,8.3678,5.4239,0.61,0.7854,0.7327
0,1,69.995,8.3663,5.4399,0.6101,0.7855,0.7257
0,2,70.5835,8.4014,5.4772,0.6068,0.7818,0.716
0,3,71.269,8.4421,5.4329,0.603,0.7797,0.7173
0,4,68.7771,8.2932,5.3242,0.6169,0.7891,0.7438
1,0,70.2774,8.3832,5.3983,0.6085,0.7849,0.7417
1,1,72.9925,8.5436,5.4093,0.5934,0.7748,0.7311
1,2,71.2941,8.4436,5.4655,0.6029,0.7796,0.7181
1,3,68.1146,8.2532,5.3584,0.6206,0.7895,0.7362
1,4,72.9408,8.5405,5.5062,0.5937,0.7731,0.7112
2,0,74.8979,8.6544,5.5785,0.5828,0.7689,0.7158
2,1,69.8454,8.3574,5.433,0.6109,0.7835,0.7195
2,2,73.9477,8.5993,5.4847,0.5881,0.7733,0.7217
2,3,70.3543,8.3877,5.4037,0.6081,0.7829,0.7356
2,4,70.3796,8.3893,5.5248,0.608,0.784,0.7205
