,,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score
,,MSE,RMSE,MAE,R2,PCC,SCC
repeat,fold,,,,,,
0,0,65.964,8.1218,5.2208,0.5709,0.7607,0.7075
0,1,66.1156,8.1311,5.2234,0.5699,0.7577,0.7066
0,2,64.9277,8.0578,5.2648,0.5776,0.7629,0.7024
0,3,64.0755,8.0047,5.1718,0.5831,0.7681,0.7117
0,4,63.454,7.9658,5.1936,0.5872,0.7702,0.7104
1,0,65.4183,8.0882,5.1975,0.5744,0.7641,0.7136
1,1,61.6848,7.854,5.1119,0.5987,0.7749,0.7082
1,2,64.3168,8.0198,5.2815,0.5816,0.7656,0.6966
1,3,65.1512,8.0716,5.1943,0.5761,0.7623,0.7143
1,4,62.2808,7.8918,5.1028,0.5948,0.7745,0.7199
2,0,62.7429,7.921,5.1827,0.5918,0.7705,0.7075
2,1,64.4689,8.0293,5.2055,0.5806,0.7648,0.7181
2,2,65.8828,8.1168,5.1882,0.5714,0.7593,0.7074
2,3,63.8909,7.9932,5.2218,0.5843,0.7665,0.6957
2,4,65.2238,8.0761,5.2863,0.5757,0.7623,0.7091
