,,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score
,,MSE,RMSE,MAE,R2,PCC,SCC
repeat,fold,,,,,,
0,0,62.764,7.9224,5.0456,0.5917,0.7725,0.7273
0,1,60.8924,7.8034,5.0821,0.6039,0.7804,0.7225
0,2,56.8598,7.5405,4.8832,0.6301,0.7951,0.7398
0,3,62.119,7.8816,5.3219,0.5959,0.7722,0.6933
0,4,63.6799,7.98,5.2133,0.5857,0.7683,0.7087
1,0,57.1012,7.5565,4.9708,0.6285,0.7956,0.7226
1,1,65.3416,8.0834,5.2904,0.5749,0.7598,0.7034
1,2,60.9311,7.8058,5.1096,0.6036,0.7795,0.714
1,3,62.4352,7.9016,5.0703,0.5938,0.7741,0.7307
1,4,61.7533,7.8583,5.1272,0.5983,0.7752,0.7083
2,0,63.0383,7.9397,5.1377,0.5899,0.7711,0.7144
2,1,58.0014,7.6159,4.987,0.6227,0.7906,0.7273
2,2,63.9878,7.9992,5.1669,0.5837,0.7657,0.7148
2,3,57.9329,7.6114,4.9784,0.6231,0.7908,0.7329
2,4,60.9106,7.8045,5.0611,0.6037,0.78,0.7171
