,,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score
,,MSE,RMSE,MAE,R2,PCC,SCC
repeat,fold,,,,,,
0,0,72.288,8.5022,5.8025,0.5358,0.7322,0.656
0,1,66.608,8.1614,5.2862,0.5722,0.7592,0.6904
0,2,63.0303,7.9392,5.1599,0.5952,0.7749,0.7205
0,3,65.9437,8.1206,5.2431,0.5765,0.7626,0.6979
0,4,63.1701,7.948,5.1838,0.5943,0.7728,0.698
1,0,64.2713,8.0169,5.3013,0.5873,0.7688,0.6973
1,1,67.8841,8.2392,5.3805,0.5641,0.7558,0.693
1,2,68.5494,8.2795,5.4138,0.5598,0.7495,0.6886
1,3,59.9528,7.7429,5.1648,0.615,0.7853,0.712
1,4,64.7274,8.0453,5.2862,0.5843,0.7653,0.6915
2,0,65.593,8.099,5.2701,0.5788,0.765,0.7037
2,1,64.1659,8.0104,5.3355,0.5879,0.7691,0.6992
2,2,66.7163,8.168,5.3498,0.5716,0.7608,0.683
2,3,70.0146,8.3675,5.5867,0.5504,0.7424,0.6721
2,4,60.6449,7.7875,5.231,0.6105,0.7838,0.7005
