,,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score
,,MSE,RMSE,MAE,R2,PCC,SCC
repeat,fold,,,,,,
0,0,59.6049,7.7204,5.2373,0.6172,0.7874,0.702
0,1,63.365,7.9602,5.3841,0.5931,0.7716,0.6946
0,2,57.8267,7.6044,5.2764,0.6286,0.7932,0.6973
0,3,58.8892,7.6739,5.1437,0.6218,0.7899,0.7111
0,4,61.1003,7.8167,5.2618,0.6076,0.7815,0.7112
1,0,65.3938,8.0866,5.3996,0.58,0.7636,0.6938
1,1,57.4499,7.5796,5.1373,0.6311,0.7946,0.7158
1,2,57.3324,7.5718,5.2074,0.6318,0.7974,0.7124
1,3,59.1576,7.6914,5.1544,0.6201,0.7887,0.7164
1,4,58.1674,7.6268,5.1987,0.6265,0.7927,0.7064
2,0,58.1158,7.6234,5.2372,0.6268,0.7917,0.7065
2,1,61.3944,7.8355,5.2502,0.6057,0.7788,0.7044
2,2,60.1763,7.7573,5.1699,0.6136,0.7837,0.7127
2,3,61.8246,7.8629,5.265,0.603,0.7774,0.7011
2,4,59.1616,7.6917,5.2162,0.6201,0.7879,0.7171
