,,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score
,,MSE,RMSE,MAE,R2,PCC,SCC
repeat,fold,,,,,,
0,0,112.2408,10.5944,8.1725,0.4541,0.6754,0.6289
0,1,106.9924,10.3437,7.9572,0.4796,0.6929,0.6438
0,2,102.6555,10.1319,7.779,0.5007,0.7082,0.6639
0,3,100.5481,10.0274,7.6821,0.511,0.7154,0.6718
0,4,103.1677,10.1572,7.8447,0.4982,0.7066,0.6634
1,0,106.9811,10.3432,7.9858,0.4797,0.6937,0.6489
1,1,106.618,10.3256,7.9535,0.4815,0.6978,0.6532
1,2,102.0286,10.1009,7.7648,0.5038,0.7108,0.6666
1,3,106.2145,10.306,7.974,0.4834,0.6955,0.6523
1,4,108.2127,10.4025,8.0268,0.4737,0.6895,0.6465
2,0,101.2957,10.0646,7.7672,0.5073,0.7125,0.6674
2,1,103.3962,10.1684,7.8273,0.4971,0.7055,0.66
2,2,104.6501,10.2299,7.8733,0.491,0.7025,0.6562
2,3,99.8301,9.9915,7.7447,0.5145,0.7188,0.6701
2,4,108.0392,10.3942,7.9723,0.4745,0.6913,0.6478
