,,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score
,,MSE,RMSE,MAE,R2,PCC,SCC
repeat,fold,,,,,,
0,0,95.4581,9.7703,7.4708,0.5357,0.7331,0.6887
0,1,94.436,9.7178,7.4409,0.5407,0.7359,0.6939
0,2,94.4515,9.7186,7.4677,0.5406,0.7374,0.6945
0,3,94.1594,9.7036,7.4181,0.542,0.7368,0.6936
0,4,92.5863,9.6222,7.3584,0.5497,0.7415,0.7022
1,0,94.9375,9.7436,7.4814,0.5383,0.737,0.6946
1,1,94.8287,9.738,7.4545,0.5388,0.7356,0.693
1,2,95.2564,9.7599,7.4738,0.5367,0.7342,0.6934
1,3,95.434,9.769,7.4654,0.5358,0.7337,0.6907
1,4,94.4402,9.718,7.4159,0.5407,0.7365,0.6957
2,0,93.004,9.6439,7.392,0.5477,0.7402,0.7004
2,1,94.2689,9.7092,7.4293,0.5415,0.7369,0.6946
2,2,94.6547,9.7291,7.4357,0.5396,0.7355,0.694
2,3,94.2094,9.7062,7.4384,0.5418,0.7376,0.6948
2,4,94.145,9.7028,7.4336,0.5421,0.738,0.695
