,,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score
,,MSE,RMSE,MAE,R2,PCC,SCC
repeat,fold,,,,,,
0,0,127.3361,11.2843,7.5824,0.512,0.7163,0.6805
0,1,127.4524,11.2895,7.7063,0.5116,0.716,0.6541
0,2,121.7918,11.0359,7.452,0.5333,0.7317,0.6855
0,3,126.0681,11.228,7.5238,0.5169,0.719,0.6826
0,4,116.7,10.8028,7.1806,0.5528,0.7444,0.6871
1,0,115.9157,10.7664,7.4424,0.5558,0.746,0.6836
1,1,124.2344,11.146,7.4932,0.5239,0.7251,0.6596
1,2,122.7732,11.0803,7.4411,0.5295,0.7278,0.6634
1,3,124.0766,11.139,7.4091,0.5245,0.7291,0.6678
1,4,124.4616,11.1562,7.3739,0.523,0.724,0.6835
2,0,125.1623,11.1876,7.6376,0.5203,0.7216,0.6777
2,1,130.9838,11.4448,7.533,0.498,0.7077,0.6589
2,2,125.8976,11.2204,7.673,0.5175,0.7206,0.6371
2,3,119.0358,10.9104,7.3518,0.5438,0.7387,0.6758
2,4,111.5761,10.563,7.2257,0.5724,0.7573,0.6796
