,,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score
,,MSE,RMSE,MAE,R2,PCC,SCC
repeat,fold,,,,,,
0,0,92.2607,9.6052,6.3237,0.6464,0.8047,0.7821
0,1,95.328,9.7636,6.3562,0.6347,0.8006,0.7789
0,2,88.7848,9.4226,6.3564,0.6598,0.813,0.7829
0,3,91.4893,9.565,6.4225,0.6494,0.8098,0.7687
0,4,92.9408,9.6406,6.1699,0.6438,0.8038,0.7772
1,0,93.0244,9.6449,6.4239,0.6435,0.8026,0.7757
1,1,94.1814,9.7047,6.5369,0.6391,0.8017,0.7485
1,2,95.9286,9.7943,6.4829,0.6324,0.8006,0.7613
1,3,98.6524,9.9324,6.3996,0.6219,0.7936,0.7795
1,4,97.1507,9.8565,6.5279,0.6277,0.7967,0.7677
2,0,107.9064,10.3878,6.88,0.5865,0.769,0.7244
2,1,86.0671,9.2772,6.0461,0.6702,0.8189,0.7852
2,2,104.2147,10.2086,6.7375,0.6006,0.7805,0.7582
2,3,91.3408,9.5572,6.4105,0.65,0.8131,0.7671
2,4,92.9541,9.6413,6.3559,0.6438,0.8069,0.7732
