,,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score
,,MSE,RMSE,MAE,R2,PCC,SCC
repeat,fold,,,,,,
0,0,64.772,8.0481,5.1748,0.6075,0.7806,0.7238
0,1,62.4894,7.905,5.0738,0.6213,0.7888,0.735
0,2,65.4823,8.0921,5.155,0.6032,0.7768,0.7361
0,3,64.8472,8.0528,5.1249,0.607,0.7801,0.7356
0,4,63.2863,7.9553,5.1512,0.6165,0.7852,0.7321
1,0,66.137,8.1325,5.2127,0.5992,0.7759,0.7291
1,1,66.6738,8.1654,5.2691,0.5959,0.7763,0.7168
1,2,63.7994,7.9875,5.1207,0.6133,0.7833,0.7359
1,3,62.7376,7.9207,5.0742,0.6198,0.7875,0.7382
1,4,63.068,7.9415,5.169,0.6178,0.7864,0.7171
2,0,65.8659,8.1158,5.185,0.6008,0.7763,0.727
2,1,61.5204,7.8435,5.0181,0.6272,0.7922,0.7398
2,2,65.153,8.0717,5.0866,0.6051,0.7797,0.7448
2,3,65.1435,8.0712,5.1357,0.6052,0.7784,0.732
2,4,61.5569,7.8458,5.0162,0.6269,0.7921,0.7378
