,,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score
,,MSE,RMSE,MAE,R2,PCC,SCC
repeat,fold,,,,,,
0,0,69.5543,8.3399,5.2781,0.6126,0.7842,0.7502
0,1,71.456,8.4532,5.3499,0.602,0.7774,0.7384
0,2,71.0907,8.4315,5.3702,0.604,0.7789,0.7438
0,3,73.5545,8.5764,5.4869,0.5903,0.7687,0.7276
0,4,70.0727,8.3709,5.2764,0.6097,0.7815,0.7443
1,0,71.3222,8.4452,5.3143,0.6027,0.7784,0.7447
1,1,72.2341,8.4991,5.4066,0.5976,0.7738,0.7419
1,2,70.1807,8.3774,5.3234,0.6091,0.7809,0.7376
1,3,69.1174,8.3137,5.3163,0.615,0.7846,0.7473
1,4,69.635,8.3448,5.3159,0.6121,0.7831,0.7436
2,0,70.7345,8.4104,5.3049,0.606,0.7795,0.7432
2,1,70.1651,8.3765,5.298,0.6092,0.7808,0.749
2,2,68.3431,8.267,5.2281,0.6193,0.7879,0.7575
2,3,71.1833,8.437,5.402,0.6035,0.7776,0.7408
2,4,67.7382,8.2303,5.2266,0.6227,0.7903,0.7448
