,,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score
,,MSE,RMSE,MAE,R2,PCC,SCC
repeat,fold,,,,,,
0,0,71.6293,8.4634,5.4738,0.534,0.7347,0.7013
0,1,68.8604,8.2982,5.3986,0.552,0.7452,0.6934
0,2,67.9379,8.2424,5.3189,0.558,0.7504,0.7142
0,3,69.6061,8.343,5.4184,0.5472,0.7426,0.7051
0,4,71.121,8.4333,5.5272,0.5373,0.7339,0.691
1,0,75.0276,8.6618,5.8188,0.5119,0.7212,0.6602
1,1,68.6114,8.2832,5.3276,0.5536,0.7462,0.7078
1,2,69.4142,8.3315,5.3833,0.5484,0.7426,0.7064
1,3,73.7895,8.5901,5.5307,0.5199,0.7331,0.6972
1,4,68.7533,8.2918,5.3023,0.5527,0.7455,0.7014
2,0,66.4111,8.1493,5.2448,0.5679,0.7563,0.719
2,1,71.3784,8.4486,5.4323,0.5356,0.7349,0.7042
2,2,71.1556,8.4354,5.4216,0.5371,0.7378,0.7002
2,3,65.4257,8.0886,5.2118,0.5744,0.7598,0.7192
2,4,72.1107,8.4918,5.4522,0.5309,0.7331,0.6965
