,,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score
,,MSE,RMSE,MAE,R2,PCC,SCC
repeat,fold,,,,,,
0,0,68.5338,8.2785,5.3778,0.5599,0.7528,0.6984
0,1,67.1117,8.1922,5.3075,0.569,0.7557,0.7012
0,2,66.4498,8.1517,5.3006,0.5733,0.7599,0.7024
0,3,70.6036,8.4026,5.3894,0.5466,0.7447,0.7027
0,4,87.4409,9.351,6.4263,0.4385,0.6715,0.5948
1,0,66.3469,8.1454,5.1878,0.5739,0.7602,0.7159
1,1,69.759,8.3522,5.4842,0.552,0.7458,0.6962
1,2,72.615,8.5214,5.5961,0.5337,0.7415,0.6764
1,3,68.8642,8.2984,5.3842,0.5578,0.7503,0.7017
1,4,70.8157,8.4152,5.3959,0.5452,0.745,0.6904
2,0,63.3801,7.9612,5.1785,0.593,0.7746,0.7143
2,1,68.559,8.28,5.3252,0.5597,0.7496,0.6991
2,2,69.5707,8.3409,5.3231,0.5532,0.7497,0.7003
2,3,70.9134,8.421,5.404,0.5446,0.7449,0.6896
2,4,69.504,8.3369,5.2979,0.5537,0.7507,0.7123
