,,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score
,,MSE,RMSE,MAE,R2,PCC,SCC
repeat,fold,,,,,,
0,0,102.6653,10.1324,7.7944,0.5007,0.7097,0.6653
0,1,103.71,10.1838,7.8326,0.4956,0.7077,0.6632
0,2,102.3536,10.117,7.7856,0.5022,0.7121,0.6656
0,3,100.796,10.0397,7.7544,0.5098,0.7176,0.6707
0,4,104.6793,10.2313,7.9137,0.4909,0.7035,0.6632
1,0,102.6132,10.1298,7.7521,0.5009,0.7114,0.6701
1,1,102.3207,10.1154,7.7472,0.5024,0.7127,0.6725
1,2,101.9291,10.096,7.7345,0.5043,0.7121,0.6698
1,3,101.3291,10.0662,7.7423,0.5072,0.7148,0.6735
1,4,101.9267,10.0959,7.738,0.5043,0.7142,0.6718
2,0,103.3244,10.1649,7.7902,0.4975,0.7079,0.6673
2,1,103.7539,10.186,7.7754,0.4954,0.707,0.6678
2,2,102.0869,10.1038,7.7648,0.5035,0.7111,0.6676
2,3,102.7277,10.1355,7.7577,0.5004,0.7097,0.665
2,4,103.2551,10.1615,7.8186,0.4978,0.7099,0.6658
