,,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score
,,MSE,RMSE,MAE,R2,PCC,SCC
repeat,fold,,,,,,
0,0,134.388,11.5926,7.6202,0.485,0.7076,0.6757
0,1,121.3684,11.0167,7.53,0.5349,0.7357,0.6474
0,2,139.1472,11.7961,7.8955,0.4667,0.7067,0.6808
0,3,135.5541,11.6428,8.0239,0.4805,0.699,0.6241
0,4,150.8985,12.2841,7.9191,0.4217,0.6802,0.6285
1,0,119.2706,10.9211,7.4727,0.5429,0.7387,0.6745
1,1,125.7219,11.2126,7.4151,0.5182,0.7234,0.6639
1,2,125.6179,11.2079,7.3894,0.5186,0.7242,0.6627
1,3,134.0008,11.5759,7.8731,0.4865,0.7168,0.6504
1,4,143.3989,11.9749,7.7282,0.4505,0.693,0.6491
2,0,127.4971,11.2915,7.6383,0.5114,0.7211,0.6348
2,1,138.802,11.7814,7.694,0.4681,0.7314,0.6937
2,2,128.5902,11.3398,7.6263,0.5072,0.7222,0.6802
2,3,160.0251,12.6501,8.6419,0.3867,0.6234,0.5648
2,4,160.1566,12.6553,8.6571,0.3862,0.6232,0.5888
