,,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score
,,MSE,RMSE,MAE,R2,PCC,SCC
repeat,fold,,,,,,
0,0,72.0161,8.4862,5.6488,0.5636,0.7559,0.6776
0,1,71.8856,8.4785,5.6291,0.5643,0.7591,0.6887
0,2,70.6544,8.4056,5.4966,0.5718,0.7606,0.6876
0,3,69.6899,8.348,5.5026,0.5777,0.7669,0.6856
0,4,70.9421,8.4227,5.5929,0.5701,0.7599,0.6765
1,0,72.8034,8.5325,5.6261,0.5588,0.7596,0.6881
1,1,73.6407,8.5814,5.7171,0.5537,0.7558,0.6899
1,2,71.1508,8.4351,5.5611,0.5688,0.7602,0.678
1,3,71.0928,8.4317,5.5189,0.5691,0.7598,0.691
1,4,65.4051,8.0873,5.3455,0.6036,0.7788,0.7025
2,0,72.4614,8.5124,5.5258,0.5609,0.7562,0.6941
2,1,71.0443,8.4288,5.4751,0.5694,0.7577,0.6807
2,2,69.1235,8.3141,5.619,0.5811,0.7635,0.6809
2,3,73.5135,8.574,5.6211,0.5545,0.7552,0.6887
2,4,69.7274,8.3503,5.5635,0.5774,0.7615,0.6791
