,,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score
,,MSE,RMSE,MAE,R2,PCC,SCC
repeat,fold,,,,,,
0,0,78.5945,8.8654,5.868,0.5622,0.7549,0.6777
0,1,77.3556,8.7952,5.7861,0.5691,0.7593,0.6884
0,2,78.5666,8.8638,5.8593,0.5624,0.7552,0.6773
0,3,78.4753,8.8586,5.8459,0.5629,0.7536,0.6845
0,4,75.0722,8.6644,5.7708,0.5818,0.765,0.6839
1,0,76.3352,8.737,5.7961,0.5748,0.762,0.6808
1,1,77.188,8.7857,5.7653,0.57,0.7585,0.6898
1,2,78.0725,8.8359,5.8293,0.5651,0.7566,0.6785
1,3,79.2865,8.9043,5.892,0.5584,0.7501,0.6693
1,4,78.8287,8.8786,5.8853,0.5609,0.7542,0.6703
2,0,76.9899,8.7744,5.8046,0.5711,0.7615,0.6786
2,1,77.1301,8.7824,5.8369,0.5704,0.7579,0.6795
2,2,78.2421,8.8455,5.8869,0.5642,0.7545,0.6655
2,3,78.7652,8.875,5.8593,0.5613,0.7541,0.6776
2,4,75.9166,8.713,5.7706,0.5771,0.7626,0.6859
