,,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score
,,MSE,RMSE,MAE,R2,PCC,SCC
repeat,fold,,,,,,
0,0,65.3704,8.0852,5.3658,0.5747,0.7598,0.6784
0,1,66.4705,8.1529,5.4818,0.5676,0.7565,0.6756
0,2,69.2928,8.3242,5.5025,0.5492,0.7463,0.6795
0,3,69.4549,8.334,5.6696,0.5481,0.7426,0.6496
0,4,64.6965,8.0434,5.3855,0.5791,0.7635,0.6917
1,0,66.6705,8.1652,5.5013,0.5663,0.7541,0.6835
1,1,67.8094,8.2346,5.5582,0.5589,0.75,0.6525
1,2,65.9125,8.1187,5.473,0.5712,0.762,0.6802
1,3,66.0405,8.1265,5.5136,0.5704,0.7583,0.6639
1,4,68.781,8.2934,5.4964,0.5525,0.7512,0.6807
2,0,65.5565,8.0967,5.3668,0.5735,0.767,0.6922
2,1,70.6683,8.4064,5.6442,0.5403,0.7462,0.6653
2,2,64.9256,8.0576,5.3927,0.5776,0.7665,0.6801
2,3,65.9128,8.1187,5.4889,0.5712,0.7576,0.6636
2,4,66.8932,8.1788,5.4297,0.5648,0.7595,0.6796
