,,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score
,,MSE,RMSE,MAE,R2,PCC,SCC
repeat,fold,,,,,,
0,0,66.2372,8.1386,5.5051,0.5746,0.7632,0.6734
0,1,66.8773,8.1779,5.4724,0.5705,0.7637,0.6686
0,2,65.2826,8.0798,5.4987,0.5808,0.7637,0.6619
0,3,69.7012,8.3487,5.7025,0.5524,0.7517,0.6433
0,4,67.6943,8.2277,5.522,0.5653,0.7633,0.6738
1,0,66.6674,8.165,5.5062,0.5719,0.7613,0.6604
1,1,69.4749,8.3352,5.727,0.5538,0.7458,0.6422
1,2,69.0808,8.3115,5.6719,0.5564,0.7522,0.6541
1,3,65.0065,8.0627,5.4397,0.5825,0.7673,0.6737
1,4,65.0464,8.0651,5.4823,0.5823,0.7662,0.6689
2,0,66.0548,8.1274,5.5597,0.5758,0.7679,0.6662
2,1,67.5189,8.217,5.5448,0.5664,0.763,0.679
2,2,67.6023,8.2221,5.5965,0.5659,0.7538,0.661
2,3,67.5925,8.2215,5.5802,0.5659,0.7552,0.6508
2,4,69.5801,8.3415,5.5132,0.5532,0.7487,0.67
