,,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score
,,MSE,RMSE,MAE,R2,PCC,SCC
repeat,fold,,,,,,
0,0,99.0306,9.9514,7.6586,0.5184,0.7251,0.6814
0,1,99.7668,9.9883,7.7128,0.5148,0.7241,0.681
0,2,99.233,9.9616,7.6944,0.5174,0.7256,0.6812
0,3,98.5816,9.9288,7.6352,0.5205,0.7232,0.6802
0,4,99.6929,9.9846,7.6657,0.5151,0.7178,0.6749
1,0,100.6773,10.0338,7.7048,0.5103,0.715,0.6693
1,1,100.7932,10.0396,7.7321,0.5098,0.7189,0.6748
1,2,98.985,9.9491,7.6814,0.5186,0.7229,0.68
1,3,99.0485,9.9523,7.6433,0.5183,0.7207,0.6799
1,4,97.016,9.8497,7.5712,0.5282,0.7287,0.6844
2,0,99.6078,9.9804,7.6411,0.5155,0.7218,0.6784
2,1,98.8276,9.9412,7.6269,0.5193,0.7272,0.6823
2,2,98.1936,9.9093,7.6184,0.5224,0.7253,0.6831
2,3,97.9588,9.8974,7.5853,0.5236,0.7255,0.6814
2,4,97.9252,9.8957,7.6236,0.5237,0.7254,0.68
