,,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score
,,MSE,RMSE,MAE,R2,PCC,SCC
repeat,fold,,,,,,
0,0,97.2528,9.8617,6.6551,0.6273,0.7951,0.7492
0,1,91.1595,9.5477,6.3988,0.6507,0.8103,0.7966
0,2,102.9663,10.1472,6.9489,0.6054,0.7889,0.7399
0,3,98.0079,9.8999,6.519,0.6244,0.8,0.7709
0,4,106.2197,10.3063,7.0945,0.5929,0.7848,0.7341
1,0,104.9098,10.2425,7.0745,0.598,0.7861,0.7542
1,1,107.4616,10.3664,6.9867,0.5882,0.7825,0.7488
1,2,106.2432,10.3074,6.8459,0.5928,0.7742,0.7405
1,3,106.3366,10.312,6.9621,0.5925,0.7821,0.7467
1,4,100.9917,10.0495,6.7371,0.613,0.7933,0.7536
2,0,105.2708,10.2602,6.93,0.5966,0.7727,0.7459
2,1,100.6692,10.0334,6.7903,0.6142,0.7957,0.767
2,2,106.6832,10.3288,7.1068,0.5912,0.7788,0.729
2,3,110.8524,10.5286,6.893,0.5752,0.7717,0.7605
2,4,109.9991,10.488,7.0348,0.5785,0.7743,0.7284
