,,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score
,,MSE,RMSE,MAE,R2,PCC,SCC
repeat,fold,,,,,,
0,0,69.474,8.3351,5.4253,0.579,0.7634,0.6954
0,1,69.8111,8.3553,5.476,0.5769,0.7618,0.6705
0,2,72.6603,8.5241,5.5033,0.5596,0.7605,0.6895
0,3,75.2786,8.6763,5.6822,0.5438,0.7511,0.6753
0,4,73.9071,8.5969,5.579,0.5521,0.7542,0.6801
1,0,72.0792,8.4899,5.494,0.5632,0.7576,0.689
1,1,70.4361,8.3926,5.462,0.5731,0.7648,0.6898
1,2,67.8304,8.2359,5.3777,0.5889,0.7721,0.6892
1,3,70.6983,8.4082,5.4491,0.5715,0.7604,0.6866
1,4,72.2682,8.5011,5.5979,0.562,0.7551,0.6719
2,0,72.5352,8.5168,5.6223,0.5604,0.7544,0.6879
2,1,74.6363,8.6392,5.6562,0.5477,0.7448,0.6694
2,2,73.4725,8.5716,5.474,0.5547,0.7595,0.6933
2,3,69.509,8.3372,5.3746,0.5787,0.7643,0.6922
2,4,68.459,8.274,5.4421,0.5851,0.7661,0.688
