,,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score
,,MSE,RMSE,MAE,R2,PCC,SCC
repeat,fold,,,,,,
0,0,86.912,9.3227,6.2244,0.5159,0.719,0.6403
0,1,87.2164,9.339,6.2596,0.5142,0.7188,0.6286
0,2,88.4367,9.4041,6.2902,0.5074,0.7138,0.6241
0,3,90.3331,9.5044,6.3418,0.4968,0.7068,0.617
0,4,87.6388,9.3616,6.173,0.5118,0.7175,0.6334
1,0,89.9693,9.4852,6.3647,0.4988,0.7073,0.6206
1,1,88.3733,9.4007,6.2764,0.5077,0.7126,0.6265
1,2,86.932,9.3237,6.2739,0.5158,0.7186,0.6273
1,3,88.443,9.4044,6.2418,0.5073,0.7144,0.6221
1,4,92.0488,9.5942,6.4329,0.4873,0.6986,0.6217
2,0,85.1979,9.2303,6.179,0.5254,0.7263,0.6467
2,1,88.5557,9.4104,6.3003,0.5067,0.712,0.6232
2,2,92.3946,9.6122,6.437,0.4853,0.6968,0.608
2,3,86.1437,9.2814,6.2047,0.5202,0.7215,0.6359
2,4,90.0085,9.4873,6.3476,0.4986,0.7073,0.6152
