,,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score
,,MSE,RMSE,MAE,R2,PCC,SCC
repeat,fold,,,,,,
0,0,68.7451,8.2913,5.4791,0.5528,0.752,0.691
0,1,70.377,8.3891,5.467,0.5421,0.7436,0.6938
0,2,72.0194,8.4864,5.5721,0.5315,0.7356,0.6694
0,3,72.2627,8.5007,5.6985,0.5299,0.73,0.666
0,4,72.4702,8.5129,5.5888,0.5285,0.7368,0.6784
1,0,73.8173,8.5917,5.6448,0.5198,0.7305,0.6559
1,1,69.0046,8.3069,5.5044,0.5511,0.7507,0.6791
1,2,71.9311,8.4812,5.5265,0.532,0.7373,0.6772
1,3,70.4176,8.3915,5.6164,0.5419,0.744,0.6835
1,4,74.4879,8.6306,5.616,0.5154,0.7277,0.6825
2,0,73.4694,8.5714,5.5758,0.522,0.734,0.6858
2,1,71.8865,8.4786,5.5664,0.5323,0.7377,0.6676
2,2,72.8613,8.5359,5.5896,0.526,0.7278,0.6702
2,3,68.9022,8.3007,5.4436,0.5517,0.7471,0.6894
2,4,71.7092,8.4681,5.5674,0.5335,0.7387,0.6811
