,,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score
,,MSE,RMSE,MAE,R2,PCC,SCC
repeat,fold,,,,,,
0,0,83.7327,9.1506,6.398,0.4623,0.6815,0.5613
0,1,81.5078,9.0282,6.1193,0.4766,0.6935,0.5941
0,2,78.5617,8.8635,6.0765,0.4955,0.7082,0.5958
0,3,75.7493,8.7034,5.9949,0.5135,0.7221,0.6223
0,4,78.4238,8.8557,5.9887,0.4964,0.7069,0.6133
1,0,79.8635,8.9366,6.0902,0.4871,0.7009,0.5965
1,1,80.9574,8.9976,6.1917,0.4801,0.7048,0.6062
1,2,81.1345,9.0075,6.2409,0.479,0.6948,0.5703
1,3,84.3602,9.1848,6.3548,0.4582,0.6901,0.5837
1,4,78.4724,8.8585,6.0363,0.4961,0.7068,0.6161
2,0,78.5591,8.8634,6.1115,0.4955,0.7072,0.5974
2,1,87.0643,9.3308,6.4938,0.4409,0.6681,0.5539
2,2,79.2902,8.9045,6.0474,0.4908,0.7034,0.6042
2,3,76.5237,8.7478,5.9357,0.5086,0.7213,0.6292
2,4,80.7461,8.9859,6.1332,0.4815,0.6966,0.5917
